stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,441.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,84.12,2.63,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,56.65,0,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,7,4,0,0,1,0,0,0,0,0,0,8,0,0,6,22,0,0,1,0,0,0,1,10,0,3,9,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,1.64,1.64,0,0,0,0,0,0.82,0,0,0,17.24,0,0,7.39,16.42,0.82,0,0.82,0,0,0.82,0,0,0,0.82,5.75,0,0,8.21,0,0.82
 36-46,0,0,0,0,0,0,2.42,0,0,0.81,0,0,0,0.81,0,0,14.5,0,3.22,4.83,10.47,2.42,0,0,0.81,0,0,0,0,0,0.81,1.61,0,0,3.22,0,0
 48-58,0,0,0,0,1.72,0,0.57,0,0.57,1.15,0,0,0.57,0.57,0,0,15.49,0,2.3,2.3,3.44,0,0,0,0,0,0,0.57,0,0,0,1.72,0,0,4.59,0,0
 60-70,0,0,0.98,0,0,0,0.98,0,0,2.94,1.96,0,0,0,0,0,19.63,0,1.96,3.93,7.85,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0,9.82,0.98,0.98
 72-82,0,0,1.96,0,0,0.98,3.93,0,0,10.8,1.96,0,1.96,3.93,0,0.98,42.21,0,0,6.87,12.76,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,13.74,2.94,0
 84-94,0,0,0,0,1.06,1.06,1.06,0,1.06,3.19,4.25,0,0,8.5,0,0,32.92,0,6.37,9.56,11.68,0,0,1.06,0,0,1.06,0,0,0,0,1.06,0,0,10.62,3.19,0
 96-106,0,0,3.28,0,2.19,2.19,0,0,1.09,7.65,8.74,0,2.19,17.49,0,1.09,27.32,1.09,4.37,6.56,17.49,0,1.09,1.09,0,0,14.21,1.09,0,0,0,0,0,1.09,17.49,3.28,2.19
108-118,0,0,0,0,1.53,2.3,2.3,0.77,0.77,6.89,13.02,0,3.06,9.96,3.06,0,30.64,0,3.06,6.13,10.72,0.77,0.77,0.77,0,1.53,9.96,0,0,0,0,0.77,0.77,0,14.55,0.77,1.53
120,0,0,1.96,0,5.88,1.96,1.96,0,0,5.88,5.88,0,0,11.76,0,0,21.56,0,7.84,5.88,19.6,0,0,0,0,0,17.64,0,0,0,0,1.96,0,0,7.84,1.96,0
