stage,epidermis,eye,immune,mesenchyme,mural_cell,neural,notochord,periderm,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,12,0,0,0,0,0,0,0,0
 24-34,0,0,25.45,0,0,0,0,0,0.82,0,9.03
 36-46,0,0,34.64,0,0,0.81,0,0,0.81,0,6.45
 48-58,0,0,48.77,0.57,0,1.72,0,0,0,0,4.02
 60-70,0,0.98,47.11,0.98,0,0.98,0,0.98,0,0,0.98
 72-82,0,0.98,69.7,0.98,0,2.94,0,0,0.98,0,7.85
 84-94,0,0,105.14,1.06,0,2.12,0,0,0,1.06,7.43
 96-106,1.09,0,111.47,0,1.09,2.19,0,0,0,0,9.84
108-118,0,0.77,78.13,1.53,0,0,0,0,0,0,5.36
120,0,0,99.95,0,0,0,1.96,0,0,0,3.92
