stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.05,3.15,0,0,12.59,0,0,0,0,3.15,0,0,0,0
 14-21,1,2,25,1,6,0,0,0,0,1,0,0,0,0,1,0,0,1,301,0,3,5,0,0,1,0,2,252,0,0,0,0
 24-34,0,0,7.39,0,13.95,0,0,3.28,0,0,0,0,0,0,4.1,0,0,0.82,1001.44,0,0,3.28,0,3.28,0,0.82,0,438.34,0,0,0,0
 36-46,0,0,1.61,0,58.81,0,0,1.61,0,0.81,0,0,0.81,0,2.42,0.81,0.81,0.81,986.14,0,0,0,0,0.81,0,0.81,0,450.37,0,1.61,0,0
 48-58,0,0,0,0,145.17,0.57,0,6.89,0.57,0,1.15,0.57,0.57,0,6.31,0,0,0,477.41,0,0.57,0,0,0.57,0,0,0,193.95,0.57,0,0,0.57
 60-70,0,0,0.98,0,191.4,0,0,1.96,0,0.98,0,0,2.94,0,5.89,0,0,0,366.11,0,0.98,0,0,0.98,0,0,0,94.23,0,0,0,0.98
 72-82,0,0,3.93,0.98,96.2,0.98,1.96,4.91,0,1.96,0,0,1.96,0.98,6.87,0,0,0,216.95,0,0,0,0,0,0,0,0,47.12,0,0,0,0.98
 84-94,0,0,1.06,0,66.91,0,1.06,7.43,0,0,1.06,0,7.43,0,3.19,0,0,2.12,113.64,0,1.06,0,0,1.06,0,0,0,30.8,1.06,0,0,0
 96-106,0,0,3.28,0,57.92,0,0,5.46,0,1.09,0,0,10.93,0,4.37,0,0,1.09,101.63,0,0,0,0,0,0,0,0,10.93,0,0,0,0
108-118,0,0,1.53,0,48.26,0,0,4.6,0.77,0,0,0,13.02,0,4.6,0,0,0,120.26,0,1.53,0,0,0,0,0,0,6.89,0,0,1.53,0
120,0,0,0,0,37.24,0,0,5.88,0,1.96,0,0,1.96,0,1.96,0,0,1.96,107.79,0,0,0,0,0,0,0,0,1.96,1.96,1.96,0,0
