stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,65.89,1304.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0
  5-6,331,3732.95,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0,42.91,128.72,0,0,0,0,0,0,0,0
  7-9,107.78,23.66,0,147.21,0,0,0,39.43,0,0,52.57,0,0,0,0,0,0,0,0,0,1077.77,73.6,0,0,586.2,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,28.32,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,110.14,3.15,0,0,84.97,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,5,0,1,6,10,0,0,0
 24-34,0,0,0.82,0,0,0,0,3.28,0,1.64,0,0,0,0.82,0,0,0,1.64,0,2.46,29.55,0.82,0,0.82,0,0.82,0,0,0,0,9.03,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,8.06,0,1.61,0,0,0,0,0,0,0,2.42,0,2.42,29,0,0.81,0,0,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,0,0,0,12.05,0,1.72,0,0,0,0,0,0,0.57,9.75,0,1.72,25.82,0,0,0,0,0.57,0,0,0,0,5.74,0,2.87,0
 60-70,0,0,0,0,1.96,0.98,0,9.82,0.98,1.96,0,0,0,0,0,0.98,0,8.83,0.98,2.94,30.43,0.98,0,0,0,1.96,0,0,0,0,2.94,0,0.98,0
 72-82,0,0,0,0,0.98,0,0,9.82,0,4.91,0,0,0,0,0,0.98,0,16.69,0,0,27.49,0,0.98,0.98,0,0.98,0,0,0,0,1.96,0,5.89,0
 84-94,0,0,0,0,0,2.12,0,12.74,0,2.12,0,0,3.19,0,0,0,0,3.19,0,0,14.87,0,0,0,0,0,0,0,0,0,2.12,1.06,0,0
 96-106,0,0,0,0,3.28,0,0,5.46,0,5.46,0,1.09,4.37,0,1.09,0,0,6.56,0,2.19,8.74,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,1.53,0,0.77,2.3,0,2.3,0,0,1.53,0,0,0,0,6.13,0,0.77,9.19,0,0,0,0,0,0,0.77,0,0,0,0,1.53,0.77
120,0,0,0,0,5.88,0,0,5.88,0,0,0,0,1.96,0,0,0,0,3.92,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,1.96,0
