stage,blastomeres,endoderm,eye,glial,gut,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,12.59,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,0,0,3,1,1,1,0,0,1,2,3,0,0
 24-34,0,0,0,0.82,0,10.67,0,4.93,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,3.22,0,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0.57,0,0,1.72,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,4.91,0.98,0.98,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,0,0,0,15.71,1.96,2.94,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,8.5,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,8.74,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,7.66,0,0,0,0,0,0,0,0.77,0,0
120,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0,0
