stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0
 24-34,0,0,0.82,0,0,2.46,0,0,0,0,0,0,0.82,1.64,0,0,13.95,0,0,0,0,0,4.1,0,0
 36-46,0,0,0,0.81,0.81,10.47,0,0,1.61,0,0,0,0,0,0,1.61,22.56,0,0,0.81,0,0.81,4.83,0.81,0
 48-58,0,0,0,0,6.31,16.64,0,0,5.16,0,0,0,0,2.87,0,2.87,27.54,0,0,0,0,0.57,1.15,0,0.57
 60-70,0,0,0.98,0,8.83,21.59,0,0,0.98,0,0,0,0,2.94,0,4.91,13.74,0,0,0.98,0,2.94,0.98,0.98,0.98
 72-82,0,0,0,0,6.87,12.76,0.98,0,5.89,0,0,0,0,1.96,0,2.94,13.74,0.98,0,0,0,0,2.94,0,0
 84-94,0,0,1.06,0,4.25,7.43,0,0,1.06,0,0,0,0,0,0,2.12,8.5,1.06,0,0,0,2.12,1.06,0,0
 96-106,0,0,1.09,1.09,3.28,16.39,0,0,4.37,0,1.09,0,1.09,4.37,1.09,1.09,13.11,1.09,0,1.09,0,1.09,0,2.19,0
108-118,0,0,2.3,0,3.06,15.32,0.77,0.77,1.53,0.77,0.77,0,0,0,0,13.02,15.32,3.06,0,0,0,2.3,0.77,0,0
120,0,0,1.96,0,1.96,17.64,0,0,3.92,0,1.96,1.96,0,0,0,11.76,5.88,5.88,0,0,0,1.96,0,0,0
