stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,0,314,23,2,0,10,0,24,6,0,0,1,0,0,0,0,10,0,0,3,67,29,1,1,198,0,2,516,33,0,107,524,0,4,0,1
 24-34,0,0,27.09,4.93,3.28,1.64,28.73,2.46,35.3,2.46,0,0,0,0,0,0,2.46,34.48,0,0,47.61,44.33,8.21,0.82,2.46,0,0,3.28,0,9.03,4.93,109.17,220.81,0,41.86,0,2.46
 36-46,0,0,3.22,0,6.45,5.64,12.09,18.53,28.2,3.22,0,0,0,0,0,0.81,0.81,66.87,0,0,85.4,45.12,1.61,1.61,0,0,0,8.06,0.81,4.83,3.22,4.83,324.68,0,19.34,0,2.42
 48-58,0,0,4.59,0,12.62,8.61,22.38,17.21,35.58,1.15,0,0.57,0.57,0,0.57,0,1.15,86.64,0,0,52.22,51.64,1.72,0,0,0,0,4.59,0,2.3,5.16,0,304.12,0,10.9,0.57,2.87
 60-70,0,0,5.89,0,11.78,6.87,17.67,26.5,28.46,0,0,0,0.98,0.98,0,0,2.94,53,0,0.98,31.41,40.24,0,0,0.98,0,0,9.82,0,4.91,4.91,0,291.51,0.98,6.87,2.94,0.98
 72-82,0,0,6.87,0,25.52,1.96,10.8,24.54,68.72,1.96,0.98,0,0,0,0,0,1.96,58.9,0,1.96,35.34,43.19,1.96,0,0,0,0,9.82,0,0,3.93,0,152.16,0,8.83,2.94,3.93
 84-94,0,0,9.56,0,25.49,2.12,24.43,24.43,49.92,7.43,0,1.06,0,1.06,0,0,2.12,45.67,0,4.25,27.61,33.99,1.06,0,0,0,0,15.93,0,11.68,2.12,0,113.64,2.12,16.99,2.12,4.25
 96-106,0,1.09,8.74,2.19,9.84,3.28,20.76,18.58,26.23,1.09,0,0,2.19,1.09,0,0,0,41.53,0,1.09,28.41,27.32,3.28,0,1.09,0,0,6.56,0,3.28,3.28,0,38.25,1.09,15.3,1.09,2.19
108-118,0,0,9.96,0.77,3.06,3.06,10.72,9.96,24.51,3.83,0,0,0.77,0,0.77,0.77,0.77,31.4,0.77,0.77,25.28,26.81,0.77,0,0,0,0.77,3.06,0,7.66,2.3,0,23.74,0.77,12.26,1.53,2.3
120,0,0,7.84,0,1.96,1.96,13.72,15.68,27.44,1.96,0,1.96,0,3.92,0,0,0,23.52,0,1.96,25.48,17.64,0,0,1.96,0,0,7.84,0,3.92,3.92,0,9.8,0,11.76,1.96,1.96
