stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,10.51,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0.82,0,4.1,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0
 60-70,0,0.98,0,0,0,0,0,0,6.87,0,0.98,0,0,0,0,0.98,0,0,0
 72-82,0,13.74,0,0,0,0,0,0,27.49,0,0.98,0,2.94,0,0,0,0,0,0
 84-94,0,6.37,0,0,0,0,0,0,37.17,0,2.12,0,0,0,0,1.06,0,0,0
 96-106,0,12.02,2.19,2.19,1.09,1.09,0,0,65.57,4.37,2.19,0,7.65,0,0,2.19,0,0,1.09
108-118,0,6.89,0,0,0,0.77,0.77,0,81.96,0,2.3,0,1.53,0,0,1.53,0,0,0
120,0,7.84,1.96,0,0,0,0,1.96,56.83,0,0,0,3.92,0,0,1.96,0,0,0
