stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,liver,mesenchyme,muscle,neural,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0
 24-34,0,0,0,0,0,0,0,0,2.46,0,0.82,2.46,0,0,0,0,0,0.82,1.64,0,0
 36-46,0,0,0,0.81,0.81,0,0,0,2.42,0.81,0,4.03,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0,0.98,0.98,0
 72-82,0,0,0,0,2.94,0,1.96,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.19,1.06,2.12,1.06,0,0,0,3.19,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,16.39,0,0,0,1.09,2.19,0,1.09,0,1.09,1.09,0,0,0,0,0,0
108-118,0,0,0.77,0,36,0,0.77,2.3,0,0,0,0.77,0,0,0,0.77,3.83,0,0,0,0.77
120,0,0,0,0,7.84,0,0,7.84,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0
