stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,13,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,2,23,1,0,0,0,0,2,1,0,0,3,6,0,0,0,0,0
 24-34,0,0,0,0,6.57,0,2.46,0.82,0,2.46,0,0,2.46,0,1.64,0,0.82,0,7.39,1.64,0,4.93,54.18,0,0.82,0.82,0,0,5.75,0,0.82,0,2.46,17.24,0,0,2.46,0,0.82
 36-46,0,0,0,0,2.42,0,7.25,0,1.61,4.03,0,0,0.81,0,0,0,0.81,0,8.86,0,0,1.61,33.84,0.81,0.81,0.81,0,0,8.86,0,0,0,0,16.92,0,0,7.25,0,0.81
 48-58,0,0,0,0,2.3,0,5.74,1.15,0.57,8.03,0,0,0,0,0,0,0,1.15,6.89,0,0,1.72,12.05,0,1.15,0,0,0,2.3,0,0,0,0,5.74,0,0,0,0,1.15
 60-70,0,0,0,0,2.94,0.98,18.65,2.94,0.98,8.83,0.98,0.98,1.96,0,0,0,0.98,0,15.7,0,0.98,0.98,18.65,0.98,0.98,0,0,0,11.78,0,0,0,0,2.94,0,0,3.93,0,0.98
 72-82,0,0,1.96,0,0.98,10.8,13.74,0.98,0,14.72,0.98,0,0.98,0,0.98,0,0.98,0,26.5,1.96,0,0.98,23.56,0,1.96,0,0,1.96,5.89,0,0,0,0,2.94,0.98,0,1.96,2.94,0.98
 84-94,0,0,0,0,5.31,16.99,19.12,3.19,1.06,9.56,3.19,0,0,0,1.06,0,0,0,15.93,2.12,2.12,4.25,7.43,0,0,1.06,0,0,21.24,0,0,0,0,1.06,0,0,1.06,2.12,1.06
 96-106,0,0,0,0,12.02,8.74,8.74,2.19,0,7.65,3.28,1.09,2.19,0,1.09,3.28,1.09,1.09,22.95,1.09,1.09,1.09,16.39,0,2.19,3.28,0,0,17.49,0,0,1.09,0,5.46,0,4.37,6.56,1.09,2.19
108-118,0,0,0,0,9.19,1.53,12.26,7.66,1.53,6.13,0,0,0,3.06,1.53,0.77,0,0.77,17.62,0,1.53,3.06,16.85,0,2.3,0.77,0,0.77,13.02,0,0,0,0,2.3,0,0,1.53,0,0
120,0,0,0,0,3.92,1.96,11.76,0,1.96,5.88,13.72,0,1.96,0,0,0,0,0,13.72,0,0,0,7.84,0,1.96,1.96,0,1.96,19.6,0,0,0,0,0,0,0,1.96,0,0
