stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,856.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,39.43,7.89,0,0,13.14,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,18.88,0,3.15,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,8,5,2,0,7,0,0,0,6,16,0,0,0,1,1,0,0,4,3,0,0,4,86,1,3,1,1,0,54,1,2,1,5,115,0,0,0,0,2
 24-34,0,0,6.57,4.93,4.1,0,0,13.95,0,1.64,0,4.1,0.82,0,1.64,0,0,1.64,0,0.82,13.95,19.7,0.82,0,4.93,485.95,0,16.42,10.67,0,0,139.55,0,0,0.82,1.64,175.66,0,0,2.46,0,13.13
 36-46,0,0,4.03,0,4.83,0.81,0,41.89,0.81,0,0,15.31,0,0,4.03,0,0,1.61,0.81,1.61,13.7,33.03,0,0.81,11.28,1318.88,0,14.5,9.67,0,0,83.79,0,0,0,0,273.93,0,0,4.03,0,21.75
 48-58,0,0,1.15,0.57,6.89,0.57,0,134.27,1.72,1.15,2.3,29.26,1.72,0,2.3,0,0,3.44,0.57,1.15,12.62,58.53,0,3.44,9.18,1641.66,0.57,8.03,4.59,0,0,44.76,0,0,0.57,0,313.87,0,1.72,4.02,0,22.38
 60-70,0,0,1.96,0.98,7.85,0,0,239.49,3.93,2.94,0.98,20.61,0.98,0,2.94,0,0.98,1.96,0,1.96,4.91,84.41,0,3.93,9.82,1867.84,0,7.85,6.87,0,0,29.45,0,0,0,0,220.84,0,2.94,4.91,0,21.59
 72-82,0,0,13.74,1.96,15.71,0,0,201.24,0.98,1.96,3.93,64.79,6.87,0,0,0,0.98,5.89,0.98,3.93,5.89,123.69,0,2.94,4.91,1320.34,0,1.96,18.65,0,0.98,27.49,0,0,0,0,107,1.96,6.87,3.93,5.89,15.71
 84-94,0,0,9.56,3.19,14.87,2.12,0,164.62,1.06,2.12,1.06,41.42,11.68,0,2.12,2.12,0,14.87,2.12,11.68,13.81,89.21,0,8.5,5.31,606.42,1.06,5.31,13.81,0,1.06,56.29,0,0,1.06,0,72.22,0,3.19,7.43,3.19,21.24
 96-106,0,0,9.84,1.09,21.86,1.09,0,128.96,1.09,3.28,2.19,51.36,26.23,0,3.28,2.19,2.19,10.93,0,13.11,8.74,91.8,1.09,3.28,4.37,521.29,0,4.37,21.86,0,2.19,73.22,1.09,0,1.09,0,30.6,0,9.84,7.65,1.09,30.6
108-118,0,0,9.19,5.36,24.51,1.53,2.3,86.55,0,2.3,0.77,29.11,34.47,0,0,3.06,0,16.85,1.53,14.55,9.96,75.06,1.53,5.36,3.06,562.22,0,2.3,25.28,0,1.53,49.02,0,0,0,0,9.19,1.53,1.53,6.89,1.53,27.57
120,0,0,7.84,0,29.4,0,1.96,117.59,0,5.88,0,39.2,29.4,0,1.96,1.96,1.96,5.88,0,9.8,5.88,56.83,0,5.88,9.8,546.78,0,1.96,9.8,0,1.96,48.99,0,0,0,0,15.68,3.92,3.92,7.84,1.96,9.8
