stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,5,103,1,0,0,0,0,1,9,0,2,0,2,25,0,0,1,1,1,1,0,94
 24-34,0,0,0,16.42,0.82,0,0,0,0,0.82,11.49,0,0,0,0,3.28,0,0,1.64,0.82,0,0,0.82,190.44
 36-46,0,0,0.81,0,0,0,0,0.81,0,1.61,1.61,0.81,0,0,0,4.03,0,0,0,0,0,0,0,107.15
 48-58,0,0,0,1.72,0.57,0.57,0,0.57,0,1.72,0,0,0.57,0,0,8.03,0,0,0,0,0,0,0.57,74.59
 60-70,0,0,0.98,0.98,0,0,0,0,0,3.93,0.98,0,2.94,0,0.98,2.94,0,0,0,0,0,0,0,73.61
 72-82,0,0,0,0,0,0,0,0,0.98,4.91,0,0,2.94,0,0,0.98,0,0,0,0,0,0,0,110.93
 84-94,0,0,0,0,2.12,0,0,0,0,6.37,0,0,2.12,0,0,1.06,0,0,1.06,0,0,0,0,113.64
 96-106,0,0,0,0,2.19,0,1.09,0,2.19,9.84,0,1.09,2.19,2.19,1.09,2.19,0,0,0,1.09,0,0,0,131.14
108-118,0,0,0.77,1.53,3.06,0,0,1.53,0,7.66,0,0,4.6,1.53,0,0,0.77,0,0.77,0.77,0,0,0,82.72
120,1.96,0,0,0,0,0,0,1.96,0,23.52,0,0,0,1.96,0,5.88,0,0,1.96,0,0,0,0,66.63
