stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,10,2,0,1,0,0,0,0,1,0,0,0,4,0,5,31,5,0,0,0,2,2,0,2,6,10,0,0,0,0,0
 24-34,3.28,0,0,2.46,0,1.64,0,0.82,0.82,0,0,0,1.64,0,2.46,25.45,0,0,0,0,0.82,0,0.82,0,0.82,10.67,0,0,0.82,0,0
 36-46,0.81,0,0,8.06,0,0,0,1.61,0,0,0.81,0,0.81,0,1.61,34.64,1.61,0.81,0,0,0.81,0,0,0.81,0,4.03,0,0,0.81,0,0
 48-58,0.57,0.57,0,21.8,0.57,0.57,0.57,3.44,0,0.57,0,0,8.03,0,0.57,25.82,0,0.57,0.57,0,1.15,0,0.57,0,0,6.31,0,0,0,0,0
 60-70,1.96,0.98,0,77.54,0.98,0,0,4.91,0,0.98,0.98,0,9.82,0,0.98,35.33,0,1.96,1.96,0.98,0,0,0,0,0,5.89,0,0.98,0,0.98,0
 72-82,0,0,0,117.8,0,0,0.98,4.91,0.98,0,0.98,0,15.71,0,0.98,40.25,0.98,0,0.98,0,0.98,0,0,0,0,0.98,0,0,0,0.98,0
 84-94,1.06,1.06,0,128.51,0,0,0,5.31,0,2.12,0,1.06,13.81,1.06,1.06,16.99,0,1.06,0,0,6.37,0,0,0,0,0,0,1.06,1.06,0,0
 96-106,6.56,1.09,0,151.91,1.09,0,2.19,5.46,1.09,1.09,1.09,1.09,9.84,0,1.09,18.58,0,1.09,1.09,0,6.56,0,0,0,0,0,0,1.09,1.09,1.09,0
108-118,2.3,0,1.53,120.26,0,0,0,3.06,0.77,0.77,0,0.77,4.6,0.77,1.53,18.38,0,1.53,0.77,0,3.06,0,0,0,0,0.77,1.53,0.77,0,0,0.77
120,1.96,0,0,182.26,0,1.96,0,1.96,0,1.96,0,0,11.76,0,0,17.64,0,0,0,0,7.84,0,0,0,0,1.96,0,0,3.92,0,0
