stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,21,0,0,0,0,0,0,2,0,0,1,11,0,0,0,0,0
 24-34,0,0,1.64,0,5.75,0,0,0.82,0.82,0,0,0.82,0,0.82,0,0,4.1,0,0,1.64,53.36,0.82,2.46,0.82,0,0,0.82,0,0.82,0,2.46,9.85,0,0,0.82,0,0.82
 36-46,0,0,1.61,0,4.03,0.81,0,0,1.61,0,0,0,0,0,0,0,4.03,0,0,0.81,48.34,0,0,0,0,0,1.61,0,0.81,0,0,13.7,0,0,0,0,0
 48-58,0,0,0,0,12.62,0,0,0,1.72,0,0,0,0,0,0,0.57,9.18,0.57,0,0.57,37.87,0.57,1.15,0,0,0,1.15,0,0,0.57,0,13.77,0,0,1.15,0,0
 60-70,0,0,0,0,16.69,0,0,0,3.93,0,0,0,0.98,0.98,0,0,5.89,0,1.96,0,21.59,0,0,0,0,0,0.98,0,0.98,0,0,4.91,0,0,0.98,0,0
 72-82,0,0,0,0,25.52,0,0,1.96,4.91,0,0,0,3.93,0,0.98,0,7.85,0,0.98,0,31.41,0,0,0,0,0,0,0,0,0,0,5.89,0.98,0,0.98,0.98,0
 84-94,0,0,1.06,4.25,16.99,0,2.12,1.06,5.31,1.06,0,0,5.31,0,0,0,12.74,0,1.06,1.06,23.36,0,0,2.12,0,0,4.25,0,0,0,0,0,0,0,4.25,1.06,0
 96-106,0,0,0,3.28,12.02,0,0,0,5.46,0,0,1.09,7.65,0,1.09,0,9.84,0,0,2.19,17.49,0,1.09,1.09,0,1.09,1.09,0,0,0,0,2.19,0,0,4.37,0,0
108-118,0,0,2.3,1.53,6.89,0,1.53,0,1.53,0,0,0,9.96,0.77,0,0,4.6,0,0,0.77,18.38,0,0.77,0,0,0,1.53,0,0,0,0,0.77,0.77,0.77,3.83,0,0
120,0,0,0,0,9.8,0,0,0,0,0,0,0,9.8,0,0,0,3.92,0,1.96,0,15.68,1.96,0,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0
