stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,3.15,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,2,0,0,1,0,1,0
 24-34,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,1.64,1.64,0,0,0,3.28,0,0,0
 36-46,1.61,0,0,0,0.81,0,0,0,0,0.81,0,0,4.03,0,0,2.42,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,8.61,0,0.57,1.15,0,0.57,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0.98,34.35,0,0,1.96,0,0.98,0,0,0,0,0
 72-82,0,0,1.96,0,0,0,1.96,0.98,0,0,0,0,79.51,0.98,2.94,4.91,0.98,1.96,0,0,0,0,0
 84-94,0,1.06,0,0,1.06,0,0,0,0,1.06,0,0,46.73,0,1.06,3.19,0,1.06,0,1.06,1.06,1.06,0
 96-106,0,1.09,1.09,1.09,0,1.09,0,0,0,0,1.09,0,46.99,0,1.09,2.19,0,1.09,0,0,0,0,0
108-118,0.77,1.53,2.3,0,0,0,0,0,0,0,0,0,35.23,0,0.77,0.77,0.77,0,0,0.77,0,0,0.77
120,0,0,3.92,0,0,0,0,0,0,0,0,0,19.6,0,1.96,1.96,0,0,0,0,0,0,0
