stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,1291.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,778.46,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,18.39,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,18.4,0,18.4,0,0,44.69,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,336.48,7.89,0,0,131.44,5.26,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,3.15,28.32,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,3.15,254.9,25.18,0,0,91.26,0,6.29,0,6.29,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,7,3,4,0,0,0,1,0,0,0,0,0,0,0,0,2,6,0,0,4,64,1,0,0,1,0,0,7,0,14,21,0,0,2,0,0
 24-34,0,0,0,0,4.93,0,10.67,0.82,0.82,0,0.82,1.64,0,0,0,0,0,0,0,0,10.67,0,0.82,2.46,89.47,0.82,0,1.64,0,2.46,0,0,1.64,1.64,25.45,0,0,2.46,0,0
 36-46,0,0,0,0,0.81,0.81,18.53,0,0,0.81,4.03,0,0,0,0,0,0,0.81,0,0,12.89,0.81,0.81,0,74.93,0.81,0,0.81,0,0.81,0,0,0,0,18.53,0,0.81,1.61,0,0
 48-58,0,0,0,0,1.72,0.57,20.66,0,1.15,0,4.59,0,0,0,0,0,0,0,0,0,15.49,0.57,0,0.57,22.38,0,1.15,1.15,0,3.44,0,0,0,0,4.59,0,0,1.72,0,0
 60-70,0,0,0,0,1.96,2.94,23.56,0,0,0,8.83,0,0,0,0.98,0.98,0,0,0.98,0,24.54,0,0,2.94,19.63,0,0.98,1.96,0,2.94,0,0,0,0,4.91,0,0,2.94,0,0.98
 72-82,0,0,0,0,0.98,1.96,8.83,0.98,1.96,0,10.8,0.98,0,0,0,0,0,0.98,0,0,20.61,0.98,0,2.94,14.72,0,0,3.93,0,0.98,0,0,0,0,0.98,0,0.98,0,0,0.98
 84-94,0,0,0,0,2.12,3.19,7.43,0,3.19,0,3.19,1.06,0,0,1.06,1.06,0,1.06,0,0,18.05,1.06,0,1.06,14.87,1.06,0,9.56,0,7.43,0,0,0,0,2.12,1.06,0,2.12,0,0
 96-106,0,0,0,0,0,3.28,14.21,0,0,0,10.93,3.28,0,1.09,1.09,0,1.09,0,0,1.09,13.11,0,1.09,2.19,9.84,1.09,1.09,10.93,0,3.28,0,0,1.09,0,0,0,0,1.09,1.09,0
108-118,0,0,0.77,0,3.83,3.06,6.89,0,0.77,0.77,11.49,0.77,0,0,2.3,0,0,0.77,0,0,15.32,0,0,1.53,13.02,0,0,5.36,0,3.83,0,0,0.77,0,0.77,0,1.53,1.53,0.77,0
120,0,0,0,0,1.96,5.88,3.92,0,1.96,0,1.96,1.96,0,0,0,0,0,1.96,0,1.96,17.64,0,0,7.84,13.72,0,0,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0
