stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,lateral_line,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
 24-34,0,0,1.64,0,0,0,0,0,0,6.57,0,0,22.98,0,0,0,4.93,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,3.22,0,0,39.48,0,0,0,4.83,0
 48-58,0,0,0,0,2.3,0,0,1.72,1.15,2.87,0,0.57,76.89,0,0,0,5.16,0
 60-70,0,0,0,0,12.76,0,0,0,0,4.91,0,0.98,147.23,0,0,0,6.87,0.98
 72-82,0,0,1.96,0,24.54,0,0,0.98,0.98,7.85,0,2.94,149.21,0,0.98,0,13.74,0
 84-94,0,0,1.06,1.06,13.81,0,1.06,2.12,1.06,5.31,1.06,5.31,90.27,0,0,0,8.5,0
 96-106,0,0,1.09,0,8.74,0,0,1.09,3.28,3.28,0,3.28,59.01,0,0,0,3.28,0
108-118,0,0,0.77,0,9.19,0.77,0,4.6,0,3.83,0,3.06,101.11,0,0,0,0.77,0
120,0,0,1.96,0,5.88,0,0,0,0,3.92,0,1.96,105.83,0,0,0,3.92,0
