stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,0,86,82,0,11,0,0,0,7,0,0,0,0,0,5,0,0,267,0,0,292,604,10,36,78,1,0,0,6,0,0,27,275,0,0,31,0,0
 24-34,0,0.82,2.46,32.83,22.16,0,41.04,0,2.46,6.57,3.28,0,2.46,0,0,1.64,31.19,1.64,0,664.89,0,0.82,238.87,2226.16,0,73.88,80.44,0,0,4.1,1.64,0,0.82,7.39,473.63,0,0,161.71,0,0
 36-46,0,0,0,7.25,4.03,0,209.47,3.22,0,11.28,24.98,0,7.25,0.81,0,0.81,11.28,0,1.61,636.48,0,0.81,198.19,3756.84,0.81,58.81,37.87,0,0.81,3.22,2.42,0.81,2.42,0,642.92,0,0.81,89.43,0,0
 48-58,0.57,0,0,18.94,3.44,0,498.64,1.72,1.72,13.77,94.68,0.57,8.03,1.15,0,1.15,14.35,1.15,0.57,774.06,0,1.72,140.01,3582.26,1.15,44.76,33.85,0,0.57,3.44,0,0,1.72,0,584.13,0,2.87,89.51,0,2.3
 60-70,0.98,0.98,0,10.8,0.98,0,612.47,20.61,3.93,7.85,55.95,0.98,3.93,3.93,0,1.96,6.87,0,0,953.06,0,5.89,95.21,3074.13,0.98,40.24,24.54,0,10.8,9.82,0,0,0.98,0,388.68,0,6.87,75.58,0.98,3.93
 72-82,0,0,0,26.5,0.98,0,670.48,26.5,0.98,20.61,63.81,2.94,10.8,4.91,1.96,0,8.83,0,1.96,1219.22,0,15.71,122.71,2141,0,63.81,32.39,0,18.65,2.94,0,0,0,0,178.66,0,18.65,146.27,7.85,6.87
 84-94,0,1.06,0,41.42,4.25,0,549.07,26.55,1.06,13.81,70.09,2.12,21.24,6.37,1.06,3.19,11.68,1.06,1.06,834.76,0,15.93,86.03,1214.97,2.12,46.73,33.99,0,12.74,4.25,0,3.19,1.06,0,129.57,1.06,11.68,111.51,9.56,2.12
 96-106,1.09,0,0,39.34,5.46,0,375.94,37.16,4.37,13.11,48.09,1.09,26.23,3.28,0,0,29.51,1.09,0,703.79,1.09,16.39,64.48,922.36,0,66.66,30.6,0,25.14,6.56,0,1.09,0,0,44.81,3.28,8.74,118.03,3.28,2.19
108-118,0,0,0,22.21,2.3,1.53,276.51,26.04,2.3,10.72,39.83,2.3,10.72,4.6,0,2.3,13.02,1.53,0.77,632.69,0,12.26,52.09,1047.07,0,42.89,29.11,0,26.04,2.3,0,2.3,0,0,32.17,0.77,4.6,83.49,0,0.77
120,1.96,0,0,33.32,7.84,3.92,388.04,29.4,0,5.88,68.59,1.96,17.64,3.92,3.92,0,23.52,1.96,0,648.69,0,13.72,66.63,1226.83,1.96,35.28,27.44,0,19.6,5.88,0,0,0,0,43.12,1.96,7.84,109.75,1.96,0
