stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,heart,ionocyte,lateral_line,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,2.46,2.46,0,0,0.82,0,1.64
 36-46,0,0,0,0,0,0.81,0,0.81,0,0,5.64,7.25,0.81,0,0,0.81,0.81
 48-58,0,0,0,0.57,0.57,0,0,0,0,0.57,5.74,3.44,0.57,0,0,0,1.15
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,8.83,5.89,0.98,0,0,0,1.96
 72-82,0,0,0,5.89,2.94,0,0,0.98,0,0,6.87,6.87,1.96,0,0,0,1.96
 84-94,0,0,0,9.56,1.06,0,0,0,1.06,0,4.25,2.12,1.06,0,0,1.06,1.06
 96-106,0,0,0,7.65,0,0,0,0,0,0,3.28,3.28,5.46,0,0,0,0
108-118,0,0.77,0.77,9.19,0,0,0,0,0,0,3.06,4.6,3.83,0,0,0.77,0.77
120,0,0,0,9.8,0,0,0,1.96,0,0,1.96,3.92,0,0,0,0,0
