stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4,1,0,1,0,0,1,0
 24-34,0,0,1.64,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,1.64,4.1,4.1,0,0,0,0,1.64,0,1.64,4.1,0,2.46,0
 36-46,0,0,0,0,0.81,0,0,3.22,0,0,0,0,0,0,0.81,0,0,0,0,0,4.83,0,0,0.81,3.22,2.42,0.81,0,0,0.81,0,0,0,0.81,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,0.57,0,0,0,1.72,0,0,0,0,0,0,0,0.57,2.87,0,0,0,4.02,0,0.57,0.57,0,2.87,0,0,0,0.57,0,1.15,0
 60-70,0,0,1.96,0,0.98,0,0,5.89,0,1.96,0,7.85,0,0,0,0,0,0,0,0,14.72,0,0,1.96,1.96,0.98,0,2.94,0,2.94,0,0,0,3.93,0,0,0
 72-82,0,0,1.96,0,1.96,0.98,0,9.82,0,0,0.98,11.78,0.98,0,0.98,0,0.98,0,1.96,0,40.25,1.96,0,0,7.85,0.98,1.96,0.98,0,2.94,0,0,0,2.94,0.98,0.98,0
 84-94,0,0,2.12,0,2.12,3.19,0,12.74,0,2.12,0,11.68,1.06,0,1.06,0,0,3.19,0,0,18.05,1.06,0,1.06,4.25,1.06,0,1.06,0,12.74,1.06,0,0,2.12,0,0,0
 96-106,0,0,0,0,3.28,2.19,0,24.04,0,0,1.09,17.49,2.19,0,0,1.09,0,1.09,0,0,28.41,1.09,0,0,8.74,1.09,0,2.19,0,8.74,0,1.09,0,1.09,3.28,0,0
108-118,0,0,2.3,0,3.83,1.53,0.77,29.87,1.53,0,0.77,14.55,2.3,0,0,0.77,0,0.77,2.3,2.3,36,0,1.53,0.77,8.43,0,0,3.83,0,6.89,1.53,2.3,0,1.53,0,0.77,1.53
120,0,0,1.96,0,11.76,1.96,0,31.36,1.96,0,1.96,17.64,0,0,0,1.96,1.96,3.92,0,1.96,15.68,0,0,0,3.92,0,0,3.92,0,7.84,1.96,0,0,0,0,1.96,0
