stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 14-21,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0
 24-34,0.82,0,0,0.82,0,0.82,0,0,0.82,0,0,0.82,0,12.31,0,0,4.1,0,0,0.82
 36-46,0.81,0,1.61,0,0,0.81,0,0,0,0,0,0.81,0.81,8.06,0,0.81,0.81,0,0,0
 48-58,0,0,2.87,0,0,0.57,0,0,0,0,0,0.57,0,5.74,0,0,0.57,0,0,0.57
 60-70,0.98,0,1.96,0,0,0.98,0,0,0,0,0,0.98,0,2.94,0,0,0,0.98,0,0
 72-82,0,0.98,6.87,0,0,0.98,0,0,0,0,0,2.94,1.96,11.78,0,0,0.98,0.98,0,0
 84-94,1.06,1.06,2.12,0,0,0,0,0,0,0,0,2.12,1.06,2.12,0,0,3.19,1.06,1.06,0
 96-106,1.09,0,2.19,1.09,1.09,0,1.09,1.09,0,0,0,0,0,3.28,0,0,1.09,0,0,0
108-118,0,0,0.77,0,0,2.3,0,0,0,0,0.77,3.06,0,3.06,0.77,0,0.77,0,0,0
120,1.96,0,0,1.96,0,0,0,1.96,0,1.96,0,0,0,1.96,1.96,0,0,0,0,0
