stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,16,0,0,0,0,0,0,1,1,0,4,4,0,0,0,0,0
 24-34,0,0,0,0.82,0,3.28,0,0,0.82,3.28,0,0,0,0,0,0,0,1.64,0,0,0,82.91,0,2.46,0,0,6.57,0,0,0.82,0,0,19.7,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,8.86,0,0,0,4.03,0,0.81,0,0,0,0,0,2.42,0,0,0,193.36,0,2.42,0,0,6.45,0.81,0,0,0,0,20.95,0,0,0,0,2.42
 48-58,0,0,0,2.87,0,27.54,0,0,1.15,5.16,0,0,0,0,0,0,0,5.16,0,1.15,2.87,288.62,0,1.72,0,0,6.89,0,0,0,0,0,32.13,0,0,0.57,0,3.44
 60-70,0,0,0,0,1.96,92.26,0,0.98,0,13.74,0,0,1.96,0,0.98,0,0,12.76,0.98,0.98,0,547.69,0,4.91,0,0,7.85,0,0,0,0,0,39.26,0,0,0.98,0,1.96
 72-82,0,0,0,3.93,0.98,138.41,0,0,2.94,30.43,0,0,0.98,0,2.94,1.96,0,12.76,0,0.98,0.98,546.79,0,3.93,0,0,9.82,0,0,0,0,0,38.28,0.98,0.98,1.96,0,1.96
 84-94,0,0,0,5.31,0,82.84,0,0,1.06,23.36,0,1.06,5.31,0,2.12,0,0,9.56,1.06,1.06,1.06,287.81,0,3.19,1.06,0,24.43,0,0,1.06,0,0,19.12,0,0,1.06,0,1.06
 96-106,0,0,0,5.46,0,56.83,0,0,0,14.21,1.09,1.09,5.46,2.19,3.28,0,1.09,14.21,1.09,2.19,0,221.85,1.09,6.56,0,0,19.67,0,0,0,1.09,0,6.56,0,0,0,1.09,0
108-118,0,0,0.77,4.6,0.77,48.26,0.77,0,0,14.55,0,0,3.06,2.3,3.83,0,0.77,9.96,0,1.53,1.53,285.7,0,3.83,2.3,0,12.26,0,0,2.3,0,0,5.36,0,0,2.3,0,3.06
120,1.96,0,0,9.8,3.92,45.08,0,0,1.96,23.52,1.96,0,7.84,1.96,0,0,0,13.72,0,0,0,337.08,0,3.92,3.92,0,13.72,0,0,0,0,0,5.88,0,0,1.96,0,0
