stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,49.95,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,18.88,0,0,6.29,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,28,0,0,0,0,0,3,0,6,9,0,0,1,0,0
 24-34,0,0,0,0.82,1.64,0,0,4.93,0,0,0.82,0.82,0,0,0,0,0,0,0,0.82,6.57,0,0,2.46,73.06,0,0,0.82,0,0,0,0,0,16.42,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0.81,0,13.7,0,0.81,0,2.42,0,0,0,0,0,0,0,0,8.06,0,0,0.81,88.62,0,3.22,0.81,0,0,0,0,0,12.89,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,26.97,0,0.57,0.57,4.02,0,0,0.57,0,0,0,0.57,0,13.77,0,0,0.57,74.59,0,1.15,1.15,0,0,0,0.57,0,10.9,0,0.57,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,30.43,0,0,0.98,5.89,0.98,0,0,0.98,0,0,0,0,10.8,0,0.98,0.98,60.85,0,1.96,0.98,0,1.96,0,0,0,6.87,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,33.38,0,0,0,7.85,0.98,0,0.98,0.98,0.98,0,0,0.98,21.6,0.98,0.98,3.93,77.55,0,0.98,0.98,0,0.98,0,0,0,3.93,0.98,0,0.98,0,0
 84-94,0,0,0,0,5.31,0,1.06,24.43,1.06,1.06,0,9.56,0,0,0,1.06,1.06,0,1.06,0,7.43,0,0,0,27.61,1.06,2.12,1.06,0,1.06,0,1.06,0,3.19,0,0,1.06,0,2.12
 96-106,0,0,1.09,0,3.28,0,0,24.04,0,2.19,0,5.46,1.09,0,1.09,1.09,1.09,1.09,0,0,13.11,0,2.19,1.09,29.51,1.09,4.37,3.28,0,1.09,0,0,0,1.09,0,0,1.09,0,1.09
108-118,0,0,0,0,3.83,0,0,9.19,0,0.77,0.77,3.83,1.53,0,0,0,0,0,0,0,15.32,0,0,0,25.28,1.53,0.77,0.77,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,5.88,0,0,15.68,0,0,0,1.96,1.96,0,0,0,0,0,0,0,3.92,0,1.96,0,29.4,0,0,0,0,5.88,0,0,0,1.96,0,0,0,0,0
