stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,hatching_gland,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,periderm,slow_muscle,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0.81,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0.81,1.61,0,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0,0.57,0,0,0,0,0,0.57,0,0,1.72,0,0,0.57,0,0
 60-70,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0.98,2.94,0,0.98,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,1.96,0.98,0,0,0,0
 84-94,0,0,1.06,0,1.06,1.06,0,0,0,0,0,1.06,1.06,0,0,3.19,2.12,5.31,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,13.11,0,0,0,0
108-118,0,0,1.53,0.77,2.3,0,0.77,0,0,0.77,0,0.77,0,0.77,0.77,0,0,13.02,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0,1.96,0,0,0,11.76,0,0,0,0
