stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,5.26,0,0,15.77,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,120.92,2.63,0,0,52.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,12.59,0,6.29,34.62,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,314.7,15.73,0,0,125.88,0,3.15,6.29,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,5,57,20,11,0,0,0,16,5,1,1,0,0,0,0,7,0,43,0,0,20,199,43,0,5,8,0,5,0,63,9,1,42,90,0,0,0,0,0
 24-34,0,0,1.64,22.98,1.64,12.31,0,3.28,1.64,18.06,0.82,0.82,4.1,2.46,0.82,0,3.28,9.85,0.82,55.82,0,1.64,20.52,151.86,9.85,0,1.64,0,0,6.57,0,0,4.93,1.64,4.93,80.44,0,0,19.7,0,1.64
 36-46,0,0,0.81,12.09,0.81,20.95,0.81,3.22,0,16.11,0,0,6.45,8.06,0.81,0.81,0,2.42,0.81,61.23,0,3.22,19.34,151.47,5.64,2.42,0,0,0.81,9.67,0,0,0.81,0.81,0,70.09,0,0,6.45,0,0
 48-58,0,0,0,15.49,0,104.43,2.87,4.02,4.59,32.13,0.57,0,5.16,9.75,0,0,0,0,0,78.61,0,3.44,13.77,192.22,2.3,0,1.72,0,0,5.74,0,0,0.57,0,0,63.69,0,1.15,5.74,0,1.15
 60-70,0,0,0,14.72,0,242.44,0.98,3.93,1.96,36.32,0,0,0.98,11.78,0.98,0,0,0,1.96,80.48,0,8.83,9.82,343.53,10.8,0.98,0.98,0,0,1.96,0,0,0,0,0,76.56,0,3.93,14.72,0,2.94
 72-82,0,0,0,12.76,0.98,199.28,0.98,4.91,2.94,46.14,3.93,0,0.98,21.6,0,0.98,1.96,0.98,0,126.63,0,6.87,8.83,325.91,2.94,0,0.98,0,0.98,3.93,0,0,0.98,0,0,42.21,0,2.94,10.8,2.94,0.98
 84-94,0,0,0,37.17,0,147.62,4.25,7.43,4.25,26.55,2.12,0,2.12,26.55,3.19,0,2.12,0,0,76.47,0,10.62,12.74,165.68,4.25,1.06,3.19,0,1.06,3.19,0,0,0,0,0,26.55,0,1.06,8.5,4.25,2.12
 96-106,0,0,0,25.14,1.09,97.26,1.09,3.28,2.19,31.69,2.19,0,1.09,30.6,1.09,1.09,2.19,0,0,75.41,0,8.74,8.74,166.11,1.09,3.28,2.19,0,4.37,9.84,0,0,2.19,0,0,18.58,0,3.28,10.93,4.37,3.28
108-118,0,0,0,33.7,1.53,86.55,1.53,9.96,1.53,18.38,2.3,0,3.83,24.51,1.53,0.77,0,1.53,0.77,93.45,0.77,6.89,6.89,202.98,6.89,0.77,2.3,0,0.77,6.89,0,0,1.53,3.06,0,13.02,0,2.3,6.89,4.6,3.83
120,1.96,0,0,50.95,0,90.15,3.92,3.92,1.96,15.68,1.96,0,3.92,19.6,0,0,0,1.96,0,66.63,0,5.88,5.88,219.5,7.84,0,5.88,0,3.92,5.88,0,0,0,1.96,0,9.8,1.96,1.96,5.88,5.88,0
