stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,3.28,32.01,0,0,0,0,0,0,0,0,0,4.1,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,4.03,0,0,0,1.61,0,0,0,0,0,1.61,0,0,2.42,0,0,1.61,29.81,0,0.81,0,0,0,1.61,0,0.81,0,7.25,0,0,2.42,0,0
 48-58,0,0,0,0,0.57,0,5.16,0,0.57,0,3.44,0,0.57,0,0.57,0,0,1.72,0.57,5.74,0,0,0,37.87,0,1.15,0,0,0,0,0,0,0,9.18,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,18.65,0,0.98,0,6.87,0,0,0,0,0,1.96,15.7,0,4.91,0,0,0.98,34.35,0,0.98,0,0,0,0,0,0,0,4.91,0,0,0,0,0
 72-82,0,0,0,1.96,0.98,0,32.39,0,0,0.98,13.74,0,0,0,0,0,1.96,146.27,0,15.71,0.98,0,3.93,66.75,0,0,1.96,0,0.98,0,0,0,0,7.85,0,0,1.96,0,0
 84-94,0,0,0,1.06,1.06,1.06,16.99,0,1.06,0,2.12,3.19,0,1.06,0,1.06,4.25,386.58,2.12,7.43,1.06,0,1.06,42.48,0,0,1.06,0,0,0,0,0,0,2.12,0,0,1.06,0,0
 96-106,0,2.19,0,14.21,7.65,3.28,56.83,0,2.19,1.09,20.76,4.37,2.19,2.19,1.09,1.09,6.56,757.34,0,30.6,0,3.28,3.28,167.21,1.09,5.46,3.28,0,2.19,12.02,0,0,1.09,6.56,2.19,0,1.09,2.19,3.28
108-118,0,0.77,0.77,3.83,3.06,2.3,42.89,0.77,3.06,0.77,16.09,5.36,0,0.77,0,1.53,6.13,1440.01,0.77,30.64,0,1.53,1.53,136.34,0.77,0,1.53,0,0,10.72,0,0.77,0.77,1.53,0.77,0.77,7.66,0,0
120,0,1.96,0,7.84,3.92,0,23.52,1.96,1.96,1.96,7.84,3.92,0,1.96,0,0,5.88,803.51,0,15.68,0,1.96,0,105.83,0,3.92,3.92,0,1.96,15.68,0,0,0,1.96,1.96,0,1.96,0,1.96
