stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,heart,immune,liver,mesenchyme,mucous,neural,olfactory,periderm,pronephros,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0.82,4.1,0,0.82,0
 36-46,0,0,0,2.42,0,0,0,0,0.81,0,0,0,7.25,0,1.61,0,0.81,0
 48-58,0,0,0,0.57,0,0,0.57,0,0,0,0,0,2.3,0,3.44,0,1.15,0
 60-70,0,0,0,0.98,0,0,0,0,1.96,0,0,0,2.94,0,7.85,0,1.96,0
 72-82,0,0,0,0.98,0,0.98,0,0,0.98,0,2.94,0.98,1.96,0,5.89,0.98,0.98,0
 84-94,0,2.12,3.19,0,1.06,0,4.25,0,1.06,0,2.12,1.06,3.19,0,14.87,0,0,1.06
 96-106,0,0,0,0,1.09,1.09,1.09,0,0,1.09,0,0,2.19,0,10.93,0,0,1.09
108-118,0,0.77,2.3,0,0.77,0,3.83,0.77,0.77,0,0,0,1.53,0,9.96,0,0,1.53
120,0,0,0,0,0,1.96,13.72,0,0,1.96,0,0,0,0,37.24,0,0,0
