stage,epidermis,eye,glial,gut,mesenchyme,muscle,neural,otic,periderm,pronephros,spinal_cord
  5-6,0,0,0,0,0,0,0,0,30.65,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0
 14-21,1,0,0,0,0,1,1,0,0,0,1
 24-34,0,0,0,0.82,0.82,0,1.64,0.82,0,0,0.82
 36-46,0,0,0,0,0,0.81,7.25,0,0,0,1.61
 48-58,0,0,0,0,0,0,5.16,0,0,0,1.15
 60-70,0,0.98,0,0,0,0,5.89,0,0,0,0
 72-82,0,1.96,0,0,0.98,0,12.76,0.98,0,0,0
 84-94,0,1.06,0,0,0,0,14.87,0,0,0,3.19
 96-106,0,2.19,2.19,0,0,0,6.56,0,0,0,0
108-118,0,1.53,0,0,0,0,11.49,0.77,0,0,0
120,0,0,1.96,0,0,0,9.8,0,0,0,1.96
