stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,26.36,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,380.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,13.14,2.63,0,0,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,128.81,7.89,0,0,39.43,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,47.2,0,0,3.15,0,0,0
 14-21,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,15,1,0,1,0,0,1,0,5,0,0
 24-34,0,0,0,0.82,0,0,5.75,0,0.82,2.46,0,0,0,0,0,0,0,2.46,0,0,43.51,0,0,0,0,0,0,0,7.39,0,0
 36-46,0,0,0,0.81,0,0,6.45,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0.81,18.53,0,0,0,0,0,0,0,8.06,0,0
 48-58,0,0,0,0,0.57,0,12.05,0.57,0,5.16,0,0,0.57,0,0,0,0,8.03,0.57,0.57,17.79,0,0.57,0,0,0.57,0,0,2.3,0,0.57
 60-70,0,0,0,0,0,0,10.8,0,0,0.98,0,0,0,0,0,0.98,0.98,4.91,0.98,0,12.76,0,0,0,0,0,0,0,0.98,0.98,0
 72-82,0,0,0,0,0.98,0,5.89,0,0,1.96,0,0,0,0,0,0,0,3.93,0,0,10.8,0,0,0.98,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,4.25,0,0,1.06,0,0,0,1.06,0,1.06,0,2.12,0,0,9.56,0,0,0,0,1.06,0,0,1.06,1.06,0
 96-106,0,0,0,1.09,0,0,1.09,0,1.09,1.09,1.09,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,1.53,0,0,0.77,0,0,0.77,0,0,0,0,0.77,0,0,5.36,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,0,0
