stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,8,0,0,6,6,1,0,1,0
 24-34,0,0,0,0.82,0,0.82,0,0,0,0,4.93,0,0.82,0,0,0,0,3.28,0.82,0,0,4.1,0,0.82,0,0,0,23.8,0,1.64,0.82,0,0,0,19.7,0
 36-46,0,0,0,0,0.81,1.61,0,0,0,0,2.42,0,0,0,0,0,2.42,4.83,2.42,0,0.81,2.42,0,4.03,0,0,0,14.5,0,0,0,0,1.61,0,21.75,0
 48-58,0,0,0,0,0.57,1.72,0.57,0,0,0,2.87,0,0,0,0.57,0,5.16,2.87,0.57,0,0.57,3.44,0,2.87,0,0,0,8.61,0,0,0,0,1.72,0,13.77,0
 60-70,0,1.96,0,0,7.85,2.94,0.98,1.96,2.94,0,3.93,0,0,0,0,0,0.98,9.82,6.87,0,2.94,8.83,0,4.91,0,0,0,15.7,0,0,0,0,0,0,18.65,0
 72-82,0,0,0,0.98,25.52,0.98,0.98,0,1.96,0.98,1.96,0,0,0,0.98,0.98,1.96,17.67,1.96,1.96,2.94,8.83,0,4.91,0,0,0,13.74,0,0,0,0,0,0.98,39.27,0
 84-94,0,0,0,4.25,21.24,3.19,0,0,4.25,6.37,1.06,4.25,0,1.06,0,1.06,4.25,10.62,3.19,0,0,5.31,0,4.25,0,0,0,39.3,0,0,0,0,0,0,21.24,1.06
 96-106,0,1.09,0,2.19,14.21,4.37,0,0,4.37,2.19,4.37,3.28,0,0,3.28,0,0,10.93,7.65,1.09,1.09,3.28,0,6.56,1.09,0,0,34.97,0,0,0,0,0,0,38.25,1.09
108-118,0,0.77,0.77,3.83,11.49,3.83,0,0,3.06,4.6,1.53,3.06,0.77,0.77,0,1.53,2.3,9.96,5.36,0.77,0.77,5.36,0,3.06,0.77,0,0.77,26.04,0,0,0,0,0,1.53,28.34,0
120,0,0,1.96,9.8,9.8,1.96,0,3.92,3.92,7.84,3.92,7.84,1.96,0,0,3.92,3.92,15.68,9.8,0,1.96,5.88,0,1.96,0,0,0,48.99,0,0,0,0,0,0,74.47,0
