stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,0,0,0,13.14,18.4,2.63,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,3.15,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,78.67,6.29,0,0,18.88,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,12,5,0,3,0,0,1,3,0,1,0,16,0,0,2,7,0,1,111,1,0,0,0,17,0,8,4,33,0,0,4,0,0
 24-34,0,0,0.82,0.82,1.64,0,0,5.75,0,0,3.28,0,0,0,0,19.7,0,0,0,12.31,0,4.1,194.54,0,0,1.64,0,8.21,0,0,0,41.04,0,0,22.16,0,0
 36-46,0,0,0,0,1.61,0,0,8.06,0,0,7.25,0,0,0,0.81,4.83,0,0,0,13.7,0.81,1.61,79.76,0,0,0.81,0,0.81,0,0,0,26.59,0,0,20.14,0,0
 48-58,0,0,0,0,0.57,0,0,12.62,0,0.57,14.92,0,0,0.57,0,4.02,0.57,0.57,0,13.2,0,2.87,41.89,0,1.15,0.57,0,0,0,0,0,16.07,0,0,14.35,0,0.57
 60-70,0,0,0,0,0,0,0,52.02,0.98,0,11.78,0,0,0,0,5.89,2.94,0,0,13.74,0.98,0,15.7,0,0,0,0,0,0,0,0,5.89,0,0.98,6.87,0,0
 72-82,0,0,0,0,2.94,0.98,0,160.99,0,0.98,15.71,1.96,0,0,1.96,10.8,2.94,2.94,0,20.61,0,0.98,12.76,0,0.98,0.98,0,0,0,0,0,2.94,5.89,0,22.58,0.98,0
 84-94,0,0,0,0,0,0,0,135.94,0,0,9.56,1.06,0,0,0,18.05,7.43,0,0,7.43,0,2.12,13.81,0,1.06,1.06,0,1.06,0,0,0,1.06,7.43,0,18.05,0,1.06
 96-106,0,0,0,0,3.28,0,0,135.51,0,2.19,2.19,2.19,0,0,2.19,14.21,6.56,1.09,0,12.02,0,0,18.58,0,2.19,0,0,0,0,0,0,2.19,5.46,0,19.67,1.09,0
108-118,0,0,0,0,3.83,1.53,0.77,112.6,0,0,3.83,1.53,0,0,0.77,18.38,13.79,0.77,0.77,8.43,0,0.77,15.32,0,0.77,1.53,0,2.3,0,0,0,0,17.62,0,11.49,0,0
120,0,0,0,0,1.96,1.96,0,96.03,0,0,3.92,3.92,0,0,1.96,5.88,5.88,0,0,11.76,0,0,31.36,0,0,0,0,0,0,0,0,0,0,0,11.76,1.96,0
