stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,44,2,0,7,0,0,0,1,2,0,0,0,0,0,0,0,0,7,0,0,1,36,1,0,1,0,0,3,0,10,1,0,6,15,0,0,1,0,0
 24-34,0,1.64,1.64,7.39,0,0,5.75,0,0.82,0,1.64,0,0.82,0,0,4.1,0,0.82,0.82,1.64,3.28,0,0,2.46,28.73,3.28,1.64,0,0,0,19.7,0,0,1.64,0,1.64,4.93,0,0,7.39,0,0
 36-46,0,0,0,2.42,0,0,4.03,0,0,0,2.42,0.81,0,0.81,1.61,3.22,0,3.22,0,1.61,4.03,0,0,0.81,27.39,2.42,5.64,0,0,0,13.7,0,0,1.61,0,0,6.45,0,0,4.03,0,2.42
 48-58,0,0,0,1.15,0,0,6.89,0,1.15,1.15,0.57,0,0,0,0.57,1.15,0.57,1.72,0,1.72,4.59,0.57,0,2.87,20.66,1.72,1.72,1.15,0,0,8.03,0,0,0,0.57,0,4.59,0,0,3.44,0,2.3
 60-70,0,0.98,0,9.82,0,0,19.63,0,2.94,0,17.67,2.94,0,0,2.94,1.96,0,1.96,1.96,0.98,10.8,0,0,0,33.37,0.98,3.93,0,0,0,11.78,0,0,0,0,0,5.89,0.98,0.98,3.93,0.98,4.91
 72-82,0,4.91,0,5.89,0.98,0,35.34,0.98,0,0.98,30.43,12.76,0,0,4.91,4.91,0,0.98,1.96,0.98,19.63,1.96,0.98,0.98,63.81,0.98,7.85,0.98,0,0,9.82,0,0,1.96,0,0,5.89,2.94,0.98,10.8,0,2.94
 84-94,0,5.31,1.06,12.74,1.06,3.19,31.86,1.06,2.12,2.12,25.49,12.74,0,0,13.81,7.43,4.25,3.19,2.12,1.06,26.55,4.25,2.12,5.31,30.8,0,5.31,1.06,0,0,32.92,0,0,7.43,2.12,0,5.31,2.12,1.06,6.37,1.06,0
 96-106,0,3.28,0,17.49,1.09,1.09,32.79,0,5.46,2.19,45.9,18.58,0,5.46,9.84,19.67,0,4.37,10.93,0,28.41,1.09,1.09,6.56,45.9,2.19,14.21,8.74,0,2.19,26.23,1.09,0,2.19,0,0,1.09,0,5.46,8.74,2.19,2.19
108-118,0,4.6,0.77,25.28,5.36,2.3,21.45,0,4.6,2.3,41.36,15.32,0,0,9.19,12.26,6.13,3.06,15.32,0,26.04,3.06,0.77,4.6,64.34,0.77,14.55,6.13,0,0.77,20.68,0,0,4.6,2.3,0,3.83,3.83,1.53,8.43,0,3.06
120,0,3.92,0,19.6,0,3.92,3.92,0,1.96,0,29.4,15.68,0,0,7.84,3.92,3.92,5.88,5.88,0,17.64,1.96,0,1.96,47.03,1.96,7.84,7.84,0,0,25.48,0,0,0,1.96,0,5.88,0,0,7.84,0,0
