stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,pronephros,spinal_cord,vasculature,xanthophores
 14-21,0,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0.82,0,0.82,30.37,0.82,0,0,0,4.1,0,0
 36-46,0,0.81,0,2.42,0.81,0.81,0,0,0,0,0.81,101.51,0,0,0,0,5.64,0,0
 48-58,0,0.57,0,6.89,0,1.72,0,0,0.57,0,2.3,132.55,0,0,0,0.57,8.61,0,0
 60-70,0,0.98,0,48.09,0,5.89,0,0,9.82,0,0,313.11,0,0,0,0,27.48,0.98,0.98
 72-82,0,0.98,0,81.48,0,3.93,0.98,0,12.76,0,0,306.28,0,0.98,0.98,0,20.61,0,0.98
 84-94,2.12,1.06,0,58.41,0,6.37,2.12,1.06,4.25,1.06,0,169.93,0,0,0,0,12.74,1.06,0
 96-106,2.19,1.09,0,41.53,0,5.46,0,0,10.93,0,0,107.1,0,0,1.09,0,4.37,0,1.09
108-118,0,0.77,0,26.04,0,5.36,0,0,5.36,0,0.77,127.15,0,0,0.77,0,4.6,0,0.77
120,0,0,1.96,39.2,0,3.92,0,0,5.88,0,0,109.75,0,0,0,0,7.84,0,0
