stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,heart,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,8,0,0,1,2,0,0,0,2,0,1,28,1,0,1,0,0,1,2,7,0,0,0,0
 24-34,0,0,0,0.82,0,0,27.09,0,0,2.46,0,0,0,1.64,5.75,0,3.28,56.64,1.64,0,0,0,2.46,0,0,19.7,0,0,0,0
 36-46,0,0,0,0,0.81,0.81,18.53,0,0.81,7.25,0,0,0,0,2.42,0,0.81,71.7,0.81,1.61,0.81,0,2.42,0,0,21.75,0,0,0,0
 48-58,0,0,0,0,0,0,11.48,0.57,0,12.05,0.57,0,0.57,0,2.3,0,1.15,37.87,0,0,0,0,0.57,0,0,9.18,0.57,0,0,0
 60-70,0.98,0,0,0,0,0,8.83,0,0,11.78,0,0.98,0.98,0,8.83,0,0,52.02,0,0,0,0,0.98,0,0,13.74,0,1.96,0,0
 72-82,0,0,0,0,0.98,0,17.67,0,0,10.8,0,0,0,0,15.71,0.98,0,37.3,0,1.96,0,0,0,0,0,3.93,0,0,0,0.98
 84-94,0,0,0,0,0,0,11.68,0,2.12,2.12,0,0,0,0,3.19,0,1.06,24.43,0,0,1.06,0,0,0,0,0,1.06,1.06,0,0
 96-106,0,0,1.09,0,0,0,14.21,0,0,2.19,0,1.09,0,0,7.65,1.09,0,24.04,0,0,0,0,3.28,0,0,2.19,0,1.09,0,0
108-118,0,0,0,0,0.77,0.77,6.13,0,0.77,3.06,0,0,0,0,6.13,0.77,0,17.62,0,0,0,0,0.77,0,0,0.77,0,0,0.77,0
120,0,0,0,0,0,0,13.72,0,0,5.88,0,0,0,0,1.96,0,0,17.64,0,0,0,0,0,0,0,0,0,0,0,0
