stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,1,68,16,31,0,1,0,6,3,2,0,0,0,0,0,45,0,0,57,79,22,4,5,8,0,0,80,1,6,107,22,0,0,0,0,0
 24-34,0,0.82,25.45,4.93,28.73,3.28,14.78,13.13,1.64,0,1.64,0,0,0,0.82,0,97.68,0,0,84.55,67.31,15.6,4.1,8.21,0.82,0,13.95,0,0,0.82,41.04,18.06,0,0,2.46,0,0.82
 36-46,0,0,9.67,0,8.06,5.64,8.86,38.67,1.61,0,2.42,0,0,0,1.61,0,129.71,0,0.81,49.15,27.39,7.25,3.22,2.42,0,0,7.25,0,0.81,0,0.81,11.28,0,0,0,0.81,0.81
 48-58,0,0,5.16,0,10.9,0.57,21.8,47.63,2.87,0,5.74,0,0,0.57,1.72,0.57,184.19,0,4.02,39.02,32.13,2.87,0,8.61,0,0,5.16,0,0.57,0,0,3.44,0,0.57,2.87,0,0.57
 60-70,0,0,10.8,0,11.78,3.93,20.61,43.19,3.93,0,3.93,0,0.98,1.96,1.96,0.98,223.79,0.98,7.85,26.5,16.69,0.98,0,10.8,0,1.96,5.89,0,0.98,0,0,6.87,0,2.94,1.96,5.89,0
 72-82,0,0,8.83,0,24.54,3.93,18.65,60.86,5.89,0.98,12.76,0.98,0,0,0,0,269.96,0,14.72,38.28,28.47,1.96,0,10.8,0,0.98,8.83,0,0,0,0,0.98,0.98,12.76,6.87,10.8,0
 84-94,0,0,9.56,0,20.18,6.37,16.99,42.48,0,3.19,4.25,1.06,1.06,0,0,0,147.62,0,10.62,26.55,4.25,4.25,0,12.74,0,1.06,7.43,0,0,0,0,0,2.12,5.31,1.06,16.99,0
 96-106,0,0,7.65,0,9.84,3.28,8.74,21.86,2.19,4.37,5.46,0,1.09,0,0,1.09,116.93,0,7.65,13.11,16.39,1.09,0,14.21,0,3.28,3.28,0,0,0,0,0,0,2.19,0,6.56,1.09
108-118,0,0,5.36,1.53,10.72,5.36,13.79,19.15,6.13,0.77,3.06,0,0.77,0.77,0,0.77,107.23,0,2.3,18.38,14.55,3.83,0,13.02,0,2.3,2.3,0,1.53,0.77,0,0,0.77,0,0.77,3.83,0
120,0,0,3.92,1.96,11.76,9.8,17.64,37.24,1.96,7.84,1.96,0,0,0,0,0,96.03,0,5.88,11.76,21.56,7.84,0,19.6,0,3.92,3.92,0,0,0,0,0,0,5.88,0,3.92,0
