stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,mesenchyme,muscle,neural,pronephros,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,12.31,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,11.28,0,0,1.61,0,0.81,0.81
 48-58,0,0,0,0,0,0,28.69,0,0,5.16,0,0,0.57
 60-70,0,0,0,0,0,0,33.37,3.93,0,2.94,0,0.98,2.94
 72-82,0.98,2.94,1.96,0.98,0.98,0,60.86,18.65,0,9.82,0,2.94,6.87
 84-94,1.06,0,2.12,0,1.06,0,92.4,6.37,0,4.25,0,1.06,3.19
 96-106,0,0,2.19,0,1.09,0,90.71,14.21,0,2.19,1.09,0,12.02
108-118,1.53,1.53,1.53,0,1.53,1.53,74.3,18.38,0,9.19,0,0,2.3
120,0,0,0,0,0,0,74.47,9.8,0,7.84,0,0,0
