stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,3,0,0,0,0,1,0,0,2,1,12,10,0,0,32,294,1,0,0,0,0,0,6,0,0,28,33,0,0,0,60
 24-34,0.82,2.46,0,9.85,0,0,0,2.46,0,0,0.82,4.1,0,7.39,48.43,0,0,91.94,900.48,1.64,0,0,0,0,1.64,0,0,0,13.13,70.59,0,0,2.46,151.86
 36-46,0,2.42,0,10.47,0,0,0,36.26,0,0,0,2.42,0,0,91.04,0,0,50.76,932.16,0,0,0.81,0,0,0.81,0,2.42,0,0,112.79,0,0,0.81,58.81
 48-58,0,4.59,0,27.54,0.57,1.15,1.72,75.17,0,1.15,0.57,4.02,0,0.57,78.04,0,0.57,32.13,669.63,0.57,0.57,0.57,0,0,1.15,0,0.57,0,0,59.68,0,0.57,0.57,56.23
 60-70,0,1.96,0,23.56,0,1.96,0,76.56,0.98,0,0,7.85,0,0,67.73,1.96,0,32.39,735.16,0,0,0,0,0.98,0.98,0,0.98,1.96,0,22.58,0,0,0,35.33
 72-82,0,3.93,1.96,55.95,1.96,0,0,51.05,0,0.98,0.98,6.87,0,1.96,78.53,0,0,46.14,580.16,0,0.98,0.98,0.98,0.98,0,0,0,0,0,4.91,0,0,3.93,34.36
 84-94,0,5.31,2.12,67.97,0,0,0,53.1,0,2.12,0,11.68,0,0,62.66,0,2.12,43.54,346.22,0,0,2.12,0,0,3.19,0,2.12,0,0,10.62,0,0,1.06,37.17
 96-106,0,10.93,1.09,52.46,0,1.09,1.09,30.6,0,1.09,0,17.49,0,0,52.46,0,0,24.04,285.23,0,1.09,0,0,1.09,1.09,0,1.09,0,0,1.09,2.19,0,0,41.53
108-118,0,2.3,0,19.15,0.77,1.53,0.77,39.06,1.53,0,0,45.96,0,0,48.26,0,1.53,26.81,338.56,0.77,0.77,0,0,2.3,1.53,0,0.77,0.77,0,0.77,0,0.77,2.3,51.32
120,0,5.88,0,31.36,0,0,1.96,35.28,0,1.96,0,17.64,0,0,37.24,0,0,33.32,299.85,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,19.6
