stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,7,4,13,2,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,242,1,9,0,0,0,0,2,1,14,0,183,0,0,0,0,0
 24-34,6.57,0.82,30.37,0,0,16.42,0,3.28,0.82,3.28,0,0.82,0.82,0,0,0,1.64,2.46,0,9.03,0.82,0,4.1,1530.08,3.28,58.28,4.1,0,3.28,0,0.82,0,12.31,1.64,441.62,0,0,1.64,0,0.82
 36-46,1.61,0,9.67,0,0,107.15,0.81,1.61,1.61,22.56,0.81,0,0.81,0,0,1.61,0,0,0,32.23,0,0,3.22,3852.71,4.03,61.23,4.83,0,4.83,0.81,0,0,0,0,714.63,0,0,0,0,0
 48-58,0.57,0,12.62,0,0,479.13,0,1.72,2.87,79.19,0.57,0.57,0.57,1.15,0,0.57,2.3,0.57,2.3,55.09,0,1.72,9.75,4514.7,1.72,34.43,6.89,0,5.16,0,0,0.57,0.57,0,723.57,0,0,1.72,0,5.16
 60-70,2.94,0,15.7,1.96,0,1290.7,0,5.89,0.98,109.93,0.98,0,1.96,0.98,3.93,0,1.96,0.98,0,81.47,0,3.93,5.89,5159.86,0.98,24.54,9.82,0,9.82,0,0,0,1.96,0,577.13,0,1.96,4.91,0,4.91
 72-82,14.72,0,33.38,3.93,0,1216.28,0.98,1.96,2.94,126.63,0.98,0.98,0,5.89,3.93,2.94,4.91,0,0,98.17,0,1.96,2.94,3919.78,0,50.06,14.72,0.98,2.94,0,0,2.94,0,0,257.2,4.91,4.91,3.93,2.94,5.89
 84-94,9.56,0,47.79,4.25,0,785.91,1.06,4.25,4.25,106.2,7.43,0,2.12,5.31,4.25,4.25,2.12,1.06,4.25,83.9,2.12,3.19,3.19,1954.15,1.06,54.16,21.24,0,14.87,0,0,0,0,0,152.93,5.31,2.12,3.19,2.12,3.19
 96-106,7.65,1.09,37.16,2.19,0,543.14,1.09,4.37,2.19,91.8,5.46,1.09,2.19,8.74,6.56,1.09,7.65,6.56,2.19,55.74,1.09,6.56,9.84,1458.95,0,75.41,21.86,0,13.11,0,0,0,0,0,55.74,12.02,1.09,4.37,2.19,1.09
108-118,3.83,0.77,27.57,5.36,0,411.32,0.77,3.06,0.77,83.49,3.83,0,0,6.89,4.6,2.3,0.77,1.53,6.13,36.77,0,3.06,3.83,1487.5,0.77,36.77,15.32,0,6.89,0,0,0.77,0.77,0,37.53,6.13,0.77,2.3,0,3.06
120,1.96,1.96,33.32,5.88,1.96,454.67,1.96,7.84,1.96,143.06,3.92,0,1.96,9.8,1.96,0,15.68,0,3.92,35.28,3.92,3.92,13.72,1822.6,5.88,54.87,25.48,0,19.6,0,0,0,0,0,54.87,3.92,0,1.96,0,1.96
