stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,gut,hatching_gland,liver,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,632.54,12637.64,0,0,0,0,0,0,0,0,0,0,0,0,698.43,0,0,0,0,0
  5-6,386.17,3886.19,0,12.26,0,0,0,12.26,0,0,61.3,6.13,0,6.13,122.59,0,0,0,0,0
  7-9,10.51,5.26,0,13.14,0,23.66,0,13.14,0,0,228.7,10.51,0,84.12,0,10.51,0,0,0,0
 10-12,0,9.44,0,0,0,12.59,0,0,0,0,66.09,0,0,28.32,0,3.15,0,3.15,9.44,0
 14-21,0,0,0,3,4,2,1,0,0,2,17,3,1,0,1,0,8,1,3,7
 24-34,0,0,0.82,1.64,0.82,0.82,0,0,2.46,0,6.57,0,0,0,0,0,0,0,0,3.28
 36-46,0,0,0,0,0,0,0,0,0.81,0,2.42,0,0,0,0,0,0,0,0,1.61
 48-58,0,0,0,0,0,0.57,0,0,0.57,0,1.72,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.89,0.98,0,0,0,2.94,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,2.12,0,0,0,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,1.53,0,2.3,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0
