stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,immune,mesenchyme,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,10.51,0,0,18.4,0,2.63,0,0,165.61,28.92,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,97.56,34.62,0,3.15,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,5.75,0,0.82,0,1.64,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,5.64,0,0,0,2.42,0.81
 48-58,0,0,0,0,0,0.57,0.57,0,0,0,2.3,0,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,4.91,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0,0,0.98,2.94,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,2.12,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0,0,0,2.3,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
