stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,7,2,1,0,0,0,2,0,0,1,0,0,0,0,2,0,1,0,0,3,29,2,0,0,1,2,0,5,0,0,7,12,0,0,0,0,0
 24-34,0,0,2.46,0,37.76,0.82,34.48,0,4.1,3.28,5.75,1.64,0.82,3.28,1.64,8.21,0.82,2.46,1.64,2.46,36.12,0.82,0,13.95,334.91,10.67,5.75,5.75,0,182.23,0,0.82,6.57,6.57,6.57,66.49,0,0,25.45,0,2.46
 36-46,0,0,0.81,0,24.98,2.42,20.14,2.42,4.03,2.42,7.25,0.81,0,4.03,1.61,4.83,0.81,1.61,2.42,4.03,28.2,0.81,0.81,4.83,190.94,8.86,3.22,3.22,0,146.63,0.81,0.81,3.22,4.83,1.61,45.92,0,0,11.28,0,2.42
 48-58,0,0,0,0,13.77,1.15,28.69,5.16,2.87,0.57,6.89,2.3,0.57,2.3,0.57,1.15,0,2.3,0.57,0.57,20.66,2.3,1.15,3.44,89.51,5.16,1.15,0.57,0,47.05,0,0,2.87,2.3,0,21.8,0,0,5.74,0,0.57
 60-70,0,0,0,0,37.3,4.91,47.11,1.96,7.85,0.98,22.58,0.98,2.94,2.94,0,0.98,0,0,0.98,0.98,43.19,2.94,0.98,4.91,101.1,6.87,2.94,1.96,0,88.34,0,0,1.96,3.93,0,17.67,0.98,0,12.76,0,3.93
 72-82,0,0,0,0,8.83,5.89,27.49,0,9.82,3.93,9.82,1.96,0,0.98,0,0,0,0.98,0,0,33.38,1.96,0.98,0.98,73.62,2.94,2.94,5.89,0,51.05,0,0,0.98,0,0,4.91,0.98,0,5.89,0,0.98
 84-94,0,0,0,0,5.31,0,18.05,1.06,1.06,3.19,6.37,0,0,0,1.06,1.06,1.06,2.12,0,0,23.36,0,0,4.25,35.05,1.06,0,1.06,0,26.55,0,0,2.12,0,0,7.43,0,1.06,0,1.06,3.19
 96-106,0,0,0,0,3.28,0,5.46,0,0,0,1.09,0,0,1.09,1.09,0,0,0,0,0,6.56,1.09,0,1.09,8.74,1.09,0,0,0,21.86,0,0,0,0,0,3.28,0,0,2.19,0,0
108-118,0,0,0,0,3.83,1.53,6.13,0,0.77,0,0.77,0,0,0,1.53,0,0,0,0,0,0.77,0.77,0,0,7.66,0.77,0,0.77,0,12.26,0,0,1.53,0.77,0,0.77,0,0,2.3,0,0
120,0,0,0,0,17.64,1.96,3.92,0,11.76,0,3.92,0,0,0,1.96,0,0,1.96,1.96,0,11.76,1.96,1.96,0,15.68,5.88,1.96,3.92,0,45.08,0,0,1.96,0,0,1.96,0,0,3.92,0,0
