stage,blastomeres,endocrine_pancreas,eye,fin_epithelia,glial,gut,heart,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,pericytes,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0.82,0.82,0.82,0,0,0,0,0,0.82,4.1,0,0,0.82,6.57,0.82,0,0,0
 36-46,0,0,0.81,0.81,0,0,0.81,0,0,0,1.61,0,0,0.81,2.42,0.81,0,0,0
 48-58,0,0,1.15,0.57,0,1.15,0,0,0.57,0,2.3,0,0,2.3,5.16,0,0.57,0.57,0
 60-70,0,0,1.96,0.98,0.98,0,0,0,0,0,1.96,0,0,0.98,8.83,0,0,0,0.98
 72-82,0,0,1.96,0,0.98,0.98,0,0,0,0,0,0,0,0,15.71,0.98,0,0,0
 84-94,0,0,9.56,0,1.06,0,0,0,0,1.06,0,0,0,1.06,10.62,0,0,1.06,1.06
 96-106,0,0,4.37,2.19,2.19,1.09,0,0,0,0,0,0,0,0,12.02,0,0,0,0
108-118,0,0,3.83,0,1.53,0,0,0.77,0,1.53,2.3,0,0,0,7.66,0,0,0,0.77
120,0,0,1.96,0,0,0,0,0,0,0,0,1.96,1.96,0,9.8,0,0,0,0
