stage,blastomeres,eye,glial,gut,heart,immune,ionocyte,mesenchyme,neural,olfactory,paraxial_mesoderm,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,0.81,0,0,0,0.81,0,0,1.61,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,1.96,0,0,2.94,0,0,0
 72-82,0,0.98,0,0,0,5.89,0,0,1.96,0,0,0
 84-94,0,0,0,0,0,8.5,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,13.11,1.09,0,1.09,0,0,0
108-118,0,0,0,0.77,0.77,24.51,0,1.53,1.53,0.77,0,0.77
120,0,0,1.96,0,0,17.64,0,0,0,0,0,0
