stage,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,liver,mesenchyme,muscle,neural,otic,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,10,0,0,0,2,0,0,1,0,0
 24-34,0,0,0,0.82,0,0,0,55.82,0,0.82,0,3.28,0,0,0.82,0.82,0
 36-46,0,0.81,0,0,0.81,0,0,78.15,0.81,0.81,0,8.06,0,0,5.64,0,0
 48-58,0,0.57,0,1.72,0,0,0,77.46,0,0.57,0,5.16,0,0.57,0.57,0.57,0
 60-70,0,0.98,0,2.94,1.96,0,0,94.23,0,1.96,0,0.98,0,0,0.98,0,0
 72-82,0,0.98,1.96,0,3.93,0,0.98,107.98,0,0.98,0,7.85,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,149.75,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,1.09,1.09,2.19,1.09,0,180.32,0,5.46,0,2.19,1.09,0,0,0,0
108-118,0,0,0,0,0,0.77,0,127.15,0,0,0,2.3,0,0.77,0.77,0,0
120,0,0,0,1.96,0,1.96,0,217.54,0,0,1.96,1.96,0,0,0,1.96,0
