stage,epidermis,erythrocytes,eye,glial,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,pericytes,periderm,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2
 24-34,0,0,0.82,0,0,0,0,0,0.82,0,0,40.22,0,0,9.03
 36-46,0.81,0,1.61,0.81,0,0.81,0,0,0.81,0,0,100.71,0,0,22.56
 48-58,1.15,0.57,9.18,8.61,0,0,0,0,2.3,0,0,113.04,0,0.57,21.8
 60-70,0,0,12.76,2.94,0,0,0,0,2.94,0,0.98,127.6,0,0,14.72
 72-82,0,0,13.74,3.93,0,0,0,0,1.96,0,0,101.11,0.98,0,17.67
 84-94,0,0,2.12,2.12,0,0,0,0,4.25,0,0,30.8,0,0,4.25
 96-106,0,0,6.56,1.09,0,0,0,0,1.09,0,0,21.86,0,0,1.09
108-118,0.77,0,4.6,2.3,0.77,0,0,0,3.83,0.77,0,43.66,0,0,1.53
120,5.88,0,0,3.92,0,0,1.96,1.96,1.96,0,0,74.47,0,0,1.96
