stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,1620.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,802.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,24.52,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,0,0,0,28.92,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,25.18,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,1,26,0,0,1,0,0,1,0,1,0,0,3,13,0,0,0,0,0
 24-34,0,0,0,0,2.46,0.82,0,10.67,0.82,0.82,0,0.82,0,0,0,0,0.82,0,4.93,0,3.28,0,0,3.28,106.71,0,1.64,0,0,0,1.64,0,0,0.82,0,0,64.85,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,14.5,0,0,0,2.42,0,0,0,0,4.83,0,0,0,5.64,0,0,1.61,223.98,0,2.42,0,0,0,2.42,0,0,0,0,0,87.82,0,0,1.61,0,0
 48-58,0,0,0,0,2.87,0,0,35,1.15,0,0.57,8.03,0.57,0,0.57,0,5.16,0,0.57,0.57,8.61,0,0,1.15,341.99,0.57,1.15,1.15,0,0,2.3,0.57,0,0,0,0,79.19,0,0,1.15,0,0
 60-70,0,0,0,0,0,0,0,154.1,0.98,0,0.98,12.76,0.98,0.98,0.98,0,7.85,0,2.94,0,15.7,0,0,0.98,674.31,0,3.93,0.98,0,0,0.98,0,0,0,0,0,87.36,0,0,1.96,0,0
 72-82,0,0,0,0,4.91,1.96,0.98,313.15,0,0,0,24.54,2.94,0,0,0.98,10.8,0,0,2.94,29.45,0,0.98,1.96,580.16,1.96,0.98,0,0,0,1.96,0,0,0,0,0,65.77,0,0,0,0.98,0
 84-94,0,0,2.12,0,6.37,2.12,2.12,169.93,1.06,1.06,0,13.81,1.06,1.06,2.12,0,20.18,1.06,0,1.06,28.68,0,0,1.06,319.67,0,4.25,3.19,0,0,7.43,0,0,2.12,0,0,29.74,1.06,1.06,2.12,1.06,0
 96-106,0,0,0,0,1.09,4.37,0,160.65,1.09,0,1.09,15.3,1.09,0,2.19,1.09,19.67,0,6.56,0,17.49,1.09,0,4.37,230.59,0,3.28,7.65,0,1.09,1.09,0,0,1.09,0,0,12.02,0,1.09,2.19,1.09,0
108-118,0,0,0,0.77,1.53,2.3,1.53,108.77,0,0,0.77,13.79,3.06,0,1.53,1.53,36.77,0,0.77,0,13.02,0,0,2.3,264.26,0,2.3,1.53,0,0,3.06,0,0,0,0.77,0,9.96,0.77,0.77,1.53,0.77,3.06
120,0,0,0,0,7.84,3.92,3.92,121.51,1.96,0,0,11.76,7.84,0,3.92,1.96,21.56,0,0,3.92,9.8,0,0,3.92,288.09,0,1.96,1.96,0,0,1.96,0,0,0,0,0,9.8,0,1.96,0,0,0
