stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,948.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0
  5-6,361.65,2586.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,30.65,0,239.06,0,0,0,0,0,0,0,0,0
  7-9,26.29,13.14,0,5.26,0,0,0,105.15,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,715.01,57.83,0,0,170.87,0,44.69,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,154.2,9.44,0,0,50.35,0,22.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,117,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,14,0,0,24,2,0,3,3,0,0,0,0,0
 24-34,0,0,6.57,0,151.04,0,0,1.64,0,6.57,0,0,1.64,0,0,0,0.82,0,0,0,0,2.46,0.82,0,0,24.63,0.82,1.64,5.75,0,0,4.93,0,2.46,0,3.28,0,0,0,0,0
 36-46,0,0,1.61,0,67.68,0,0,0.81,0,5.64,0,0,0,0,0,0,0,0,0,0,0,13.7,0,0,1.61,44.31,0,0.81,0.81,0,0,0,0,0,0,2.42,0,0,0.81,0,0.81
 48-58,0,0,4.59,0,51.07,0,0,2.87,0,4.59,1.15,12.62,1.15,0,1.72,0,0,1.15,0,0,0,95.25,0.57,7.46,0.57,32.13,0,0,0,0,0,0.57,0,0,0,11.48,0,0,2.3,0,0.57
 60-70,0,0,2.94,0,26.5,0,0,16.69,0,1.96,0.98,60.85,0.98,0,2.94,0,0,2.94,0,0,0,443.65,0,22.58,5.89,42.21,0,0,0.98,0,1.96,0,0,0,0,9.82,0,18.65,6.87,12.76,0
 72-82,0,0,10.8,0,24.54,2.94,0.98,71.66,0.98,0,2.94,160.99,3.93,0,1.96,1.96,0,5.89,0,1.96,0,853.06,1.96,57.92,11.78,70.68,0,0,0.98,0,6.87,1.96,0,0,0,8.83,0,38.28,24.54,48.1,0
 84-94,0,0,14.87,0,44.61,1.06,0,87.09,2.12,2.12,6.37,139.13,5.31,0,2.12,1.06,4.25,13.81,1.06,1.06,0,617.04,0,60.54,5.31,44.61,0,0,1.06,0,5.31,3.19,0,0,0,7.43,1.06,32.92,20.18,56.29,0
 96-106,0,0,14.21,0,49.18,3.28,2.19,84.15,6.56,0,7.65,126.77,13.11,0,7.65,2.19,1.09,26.23,2.19,4.37,0,689.59,0,71.04,12.02,96.17,0,1.09,1.09,0,25.14,6.56,0,1.09,0,9.84,1.09,37.16,46.99,101.63,2.19
108-118,0,0,12.26,0,29.87,1.53,0,36.77,3.83,1.53,2.3,107.23,9.96,0,2.3,0.77,0.77,29.87,0,0,0.77,700.09,0,58.98,9.96,77.36,1.53,2.3,0.77,0,29.11,6.89,0,0.77,0.77,8.43,3.06,22.21,51.32,72.77,1.53
120,0,0,11.76,0,31.36,1.96,1.96,47.03,5.88,7.84,0,94.07,7.84,0,3.92,1.96,1.96,33.32,1.96,1.96,0,791.75,1.96,80.35,9.8,82.31,1.96,1.96,0,1.96,29.4,3.92,0,0,0,7.84,0,27.44,48.99,135.23,1.96
