stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,197.67,4493.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0,0
  5-6,331,4627.87,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.37,24.52,0,0,36.78,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,73.6,52.57,128.81,0,0,0,131.44,0,0,0,0,0,60.46,0,0,0,0,0,0,0,0,0,0,0,1724.44,47.32,0,0,785.99,5.26,34.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,44.06,78.67,0,22.03,0,88.12,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,1110.88,12.59,0,0,579.04,9.44,18.88,6.29,72.38,0,0,0,0,0,0,0,0
 14-21,0,1,12,115,32,0,44,0,0,0,15,0,0,0,0,6,0,0,0,0,58,0,0,56,613,11,6,5,28,46,5,164,5,0,82,221,0,0,6,0,1
 24-34,0,0,4.1,41.86,7.39,0,149.4,0,0.82,0.82,22.98,1.64,0,1.64,2.46,1.64,2.46,1.64,1.64,0.82,121.49,1.64,0.82,56.64,1311.73,11.49,14.78,12.31,0,164.17,0.82,0,0.82,1.64,7.39,325.06,0,0,18.88,0,0.82
 36-46,0,0,0,35.45,3.22,0,413.31,0,0,0.81,21.75,0.81,0,2.42,4.03,0.81,2.42,0.81,0,0,119.24,2.42,1.61,44.31,1004.67,1.61,11.28,4.83,0,45.12,0,0,1.61,0,0,245.73,0,0,14.5,0,1.61
 48-58,0,0,0,41.31,5.74,0,535.93,1.15,2.3,0.57,25.82,0,0,1.15,5.74,0.57,1.15,0.57,0.57,0,127.96,1.15,2.87,21.8,515.28,2.87,3.44,2.87,0,21.8,0,0,0.57,0,0,83.78,0,0,12.62,0,1.15
 60-70,0,0,0,38.28,0.98,0.98,433.83,0,3.93,0,22.58,0,0,0,3.93,0.98,2.94,1.96,0.98,0.98,86.37,0.98,5.89,12.76,257.16,3.93,0.98,3.93,0,10.8,0,0,1.96,0,0,14.72,0,0,7.85,0,0
 72-82,0,0,0,33.38,3.93,0.98,160.99,0.98,0.98,0.98,25.52,3.93,0,0.98,3.93,0,0.98,1.96,0,0,72.64,2.94,12.76,17.67,209.09,0,4.91,3.93,0,10.8,0,0,0,0,0,5.89,1.96,0,12.76,0.98,0.98
 84-94,0,0,0,54.16,6.37,0,117.89,0,3.19,0,27.61,8.5,0,1.06,5.31,3.19,4.25,0,1.06,0,72.22,3.19,10.62,18.05,128.51,3.19,3.19,6.37,0,16.99,0,0,4.25,0,0,6.37,4.25,0,12.74,0,0
 96-106,0,0,0,29.51,10.93,2.19,102.73,0,0,0,16.39,13.11,0,5.46,7.65,2.19,3.28,2.19,1.09,0,48.09,1.09,2.19,8.74,151.91,2.19,2.19,8.74,0,13.11,0,0,2.19,0,0,3.28,0,0,10.93,1.09,0
108-118,0,0,0.77,30.64,10.72,1.53,111.06,0,3.06,1.53,29.11,9.19,0,0.77,14.55,0.77,1.53,0,1.53,0,52.09,0,6.13,16.85,186.13,1.53,5.36,4.6,0,15.32,0,0,2.3,0,0,3.06,3.06,0,7.66,0.77,0
120,0,0,0,15.68,15.68,1.96,109.75,0,0,0,21.56,7.84,0,1.96,19.6,3.92,0,0,0,0,39.2,0,0,9.8,135.23,0,0,5.88,0,5.88,0,0,1.96,0,0,3.92,0,1.96,13.72,0,0
