stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,144.58,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,9.44,0,0,0,0,0,0,261.2,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,230,0,0,0,0,0,2,29,3,0,0,0,0,0,0,18,0,0,4,17,0,0,0,0,1,1,0,0,0,3,0,0,0,0
 24-34,0,0,0,0.82,813.47,2.46,0,0,0,0,0,0,10.67,0.82,0,0,0,0.82,1.64,17.24,0.82,0,3.28,50.07,0.82,0,0.82,0,1.64,0,0.82,0,0.82,9.85,0,0,1.64,0
 36-46,0,0,0,0,456.81,0,0,0,0,0,0,0,8.86,0,0,0,0,0,0,8.86,0,0,0.81,25.78,0,0,0,0.81,0.81,0,2.42,0.81,0,2.42,0,0.81,0.81,0
 48-58,0,0,0,1.15,681.68,10.33,0,0,0,0.57,0,0,3.44,0,0,0,0,0,0,4.59,0,0,0.57,26.4,0,0,0,0,1.15,0,0,0,0,5.74,0,0,1.15,1.15
 60-70,0,0,0,0.98,709.64,28.46,0,0,0,2.94,1.96,0,2.94,0.98,0,0,0,0.98,0,7.85,0,0,1.96,30.43,0,0,0,0,0.98,0,0.98,0,0,3.93,0,0.98,0.98,1.96
 72-82,0,0,0,0.98,665.57,22.58,0.98,0,0.98,5.89,0,0,0.98,0,0,0,0,0,0,6.87,0,0.98,0,16.69,0,0,0,0,1.96,0,0.98,0,0,1.96,0.98,0,0.98,0
 84-94,0,0,0,1.06,546.95,15.93,0,1.06,1.06,3.19,1.06,0,1.06,2.12,1.06,2.12,1.06,0,0,11.68,0,0,0,13.81,0,0,0,0,3.19,0,2.12,1.06,0,1.06,0,0,3.19,1.06
 96-106,0,0,0,2.19,641.5,15.3,0,0,0,0,3.28,0,2.19,2.19,0,2.19,0,1.09,1.09,13.11,0,0,0,18.58,1.09,1.09,1.09,1.09,3.28,0,0,0,0,1.09,0,0,1.09,2.19
108-118,0,0.77,0,2.3,505.54,5.36,0,0,0,3.83,0,0,0.77,0,0.77,0,0,1.53,0,9.19,0,0,0.77,11.49,0,0,0,0.77,1.53,0,0,0,0,0,0,0,2.3,0
120,0,0,0,3.92,664.37,3.92,0,0,0,5.88,0,0,3.92,0,0,0,0,0,0,1.96,0,0,0,15.68,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0
