stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,20,0,1,0,0,5,1,3,0,0,2,11,0,0,0,0,0
 24-34,0.82,3.28,0,6.57,0,1.64,0,2.46,0,0,4.1,0,0.82,0,2.46,6.57,0,0,1.64,41.04,0,4.1,0.82,0,22.98,0,0,4.1,2.46,0.82,19.7,0,0,7.39,0,0.82
 36-46,0,5.64,0.81,32.23,0,0.81,0.81,6.45,0,1.61,8.06,0,0.81,0.81,0.81,9.67,0,0,2.42,153.88,0,8.06,1.61,0,25.78,0,0,3.22,1.61,0,41.09,0,0,5.64,0,3.22
 48-58,0.57,2.87,0,57.95,0,1.72,0.57,30.41,0,0.57,2.3,0.57,0.57,0,2.3,14.35,1.15,0.57,2.3,129.11,0,6.31,1.72,0,10.9,0,0,1.72,0,0,34.43,0,0,4.59,0,1.15
 60-70,0.98,3.93,0,181.58,1.96,2.94,0.98,67.73,1.96,8.83,10.8,0,0.98,0.98,0.98,27.48,0,0.98,0,268.94,0.98,5.89,0,0,8.83,0,0,5.89,1.96,0,50.06,0.98,0.98,4.91,0,1.96
 72-82,1.96,12.76,1.96,96.2,0,0,0.98,66.75,6.87,4.91,18.65,0,0.98,0,0,28.47,0.98,1.96,2.94,148.23,0,9.82,7.85,0,6.87,0,0,3.93,1.96,0,14.72,0,0,2.94,0.98,2.94
 84-94,2.12,12.74,2.12,73.28,2.12,3.19,2.12,52.04,7.43,5.31,24.43,3.19,0,1.06,1.06,12.74,0,2.12,1.06,98.77,0,6.37,7.43,1.06,32.92,0,0,4.25,3.19,0,11.68,0,0,4.25,1.06,0
 96-106,2.19,13.11,2.19,44.81,0,0,1.09,42.62,9.84,12.02,34.97,1.09,2.19,0,2.19,19.67,1.09,2.19,0,87.43,0,5.46,10.93,0,25.14,0,0,5.46,1.09,0,7.65,2.19,1.09,5.46,3.28,0
108-118,0,14.55,1.53,41.36,0.77,0.77,0.77,26.81,6.13,12.26,19.15,3.83,0.77,0.77,0,15.32,1.53,0,0.77,65.87,0,5.36,3.83,0.77,14.55,0,0,8.43,1.53,0,0.77,0.77,0,2.3,1.53,1.53
120,1.96,19.6,0,50.95,0,3.92,0,35.28,7.84,19.6,15.68,1.96,1.96,0,1.96,9.8,1.96,0,0,97.99,0,5.88,3.92,0,13.72,0,0,9.8,0,0,0,1.96,0,3.92,0,0
