stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,1396.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,1397.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.04,12.26,0,0,6.13,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,70.98,49.95,0,102.52,0,0,155.09,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,1203.95,55.2,0,0,494.2,0,5.26,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,88.12,0,3.15,94.41,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,3.15,1098.29,66.09,0,0,497.22,0,12.59,0,6.29,47.2,0,9.44,0,0,0,0,0
 14-21,0,0,2,5,46,15,23,0,0,0,9,4,3,3,0,2,0,0,0,1,22,0,0,16,209,9,2,1,10,0,23,1,53,8,5,45,80,0,7,0,0
 24-34,0,0,0,3.28,12.31,0,26.27,0,0,0.82,4.93,2.46,0,0,3.28,5.75,0,0,0.82,0,35.3,0,0,22.16,196.18,9.03,3.28,0,0,0,38.58,0,0,1.64,0.82,9.85,62.39,0,6.57,0,3.28
 36-46,0,0,0,0,4.03,0,16.92,0.81,1.61,0.81,1.61,0,0,0,0.81,1.61,0,0.81,1.61,0,10.47,0,0.81,3.22,102.32,2.42,1.61,0,0,0,17.72,1.61,0,2.42,0.81,0.81,33.03,0.81,1.61,0,0.81
 48-58,0,0,0,0,3.44,0.57,35.58,1.15,0.57,1.72,8.61,0.57,1.72,1.15,1.15,1.72,0,0,1.15,1.72,20.08,1.15,0.57,2.87,92.38,2.87,1.72,1.15,0,0,7.46,0.57,0,1.15,2.87,0,31.56,0,1.72,0,4.02
 60-70,0,0,0,0,1.96,0,39.26,0,0.98,0,12.76,0,0.98,0,0,0,0.98,0.98,0.98,0.98,12.76,0.98,0,0.98,45.15,2.94,2.94,0,0,0,6.87,0.98,0,0.98,0,0,16.69,0,0,0.98,0
 72-82,0,0,0,0,0.98,0.98,29.45,1.96,0,0,11.78,0,0,0,0,0,0,0,0.98,0,17.67,0.98,0,5.89,34.36,1.96,0.98,0.98,0,0,8.83,0,0,0.98,0.98,0,3.93,0,0.98,0,0
 84-94,0,0,0,0,3.19,0,15.93,1.06,0,1.06,9.56,0,1.06,1.06,1.06,2.12,1.06,0,1.06,0,9.56,0,1.06,2.12,15.93,0,0,1.06,0,0,20.18,0,0,2.12,2.12,0,1.06,0,0,0,0
 96-106,0,0,0,0,3.28,2.19,7.65,0,3.28,0,5.46,0,0,1.09,0,0,3.28,0,2.19,0,6.56,0,0,1.09,9.84,2.19,0,1.09,0,0,10.93,0,0,1.09,2.19,0,5.46,0,1.09,1.09,0
108-118,0,0,0,0,1.53,0,5.36,0,0,2.3,9.19,0.77,0,0,0,0,1.53,0,0.77,0,6.89,0,0.77,2.3,12.26,2.3,0,0,0,0.77,9.96,0,0,0,3.83,0,1.53,0,0.77,0.77,0.77
120,0,0,0,0,0,3.92,3.92,0,0,0,9.8,0,0,0,1.96,0,0,0,0,0,7.84,0,0,3.92,11.76,3.92,1.96,0,0,0,7.84,0,1.96,0,0,0,0,0,0,0,0
