stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,34.17,2.63,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,0,3,1,1,7,0,0,0
 24-34,0,0,0.82,0,4.1,0,0,0,0,0,0,0,0.82,0,1.64,0,0,20.52,0,0,0,0.82,0,0,0,2.46,0,0,0.82
 36-46,0,0,0.81,0,1.61,0,0,0,0.81,0,0,0,0,1.61,0.81,0,0,13.7,0,0.81,0,1.61,0,0,0,2.42,0,0,0
 48-58,0,0,0,0,1.72,0,0.57,0,4.02,0,0,0,0,0,0.57,0,0.57,10.9,0,0,0,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,2.94,0,0,4.91,0,0,0,0,0,0,0,1.96,0,0,0.98
 72-82,0,0,0,0,4.91,0.98,0.98,0.98,1.96,0,0,0.98,0,0,5.89,0.98,0.98,16.69,0,0,0,0,0,0,0,1.96,0,0.98,0.98
 84-94,0,0,0,0,2.12,0,0,0,1.06,0,0,0,0,0,0,0,0,7.43,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,1.09,0,0,1.09,0,0,3.28,0,0,2.19,0,0,0,1.09,0,0,0,0,1.09,0,1.09
108-118,0,0,0.77,0.77,1.53,0,0,0.77,0,0.77,0,0,0,0,0.77,0,0,1.53,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,1.96,0,3.92,0,0,0,3.92,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
