stage,endoderm,epidermis,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,1,142,1,0,0,2,0,0,1,0,0,21,0,9,12,1,0,0,1,4,3,1,3,0
 24-34,0,11.49,0,0.82,0,0,0.82,0,0,0,0,8.21,0.82,0,5.75,0,0,0,0,0,0,1.64,4.93,0
 36-46,0,8.86,1.61,0,0,0,0.81,0,0,0,0,16.92,1.61,2.42,13.7,0,0.81,0,0,0,0,0,2.42,0
 48-58,0,8.03,2.3,2.3,1.15,1.15,0,0,0,0.57,0,6.89,1.15,1.15,4.59,0,0,0,0,1.72,0,0,4.02,0
 60-70,0,4.91,1.96,0.98,0.98,0,0,0,0,0,0,4.91,1.96,0,3.93,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,5.89,1.96,1.96,0,0,0,0,0,0,3.93,0,0.98,2.94,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,3.19,2.12,4.25,1.06,0,1.06,1.06,0,0,0,1.06,1.06,0,0,0,0,1.06,0,1.06,0,0,3.19,0
 96-106,0,2.19,1.09,2.19,0,0,0,0,0,0,0,1.09,0,0,3.28,0,0,0,0,0,0,0,0,0
108-118,0,6.13,3.06,10.72,0,0,0,0,0,0,0.77,0.77,0,0,3.83,0,0,0.77,0,0,0,0,0,0.77
120,0,3.92,5.88,1.96,1.96,0,0,0,1.96,0,0,3.92,1.96,0,1.96,0,0,0,0,0,0,0,0,1.96
