stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,237.2,3861.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0
  5-6,36.78,986.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,6.13,0,0,0,24.52,0,0,0,0,0,0,0
  7-9,7.89,0,0,2.63,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,123.55,2.63,0,0,47.32,0,18.4,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,9.44,0,0,0,0,6.29,0,0,0,0,0,0,0,0,91.26,6.29,0,0,34.62,0,6.29,0,15.73,0,0,0,0
 14-21,0,0,1,1,44,8,2,0,0,1,2,2,1,1,0,0,0,12,0,6,69,0,1,1,1,1,8,28,3,1,18,15,0
 24-34,0,0,0,0,1.64,0,0.82,0.82,0.82,2.46,0,0,0,0,0,0,0.82,4.1,0.82,0,20.52,0,0,0,0,0.82,0.82,0,0,0,0.82,7.39,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,1.61,4.83,0,1.61,0.81,0,0,0.81,0,0,0,0,3.22,0
 48-58,0,0,0,0,0,0,2.3,0,0,0.57,0,0,0,0,0,0,0,2.3,0,1.15,4.02,0,0,1.15,0,0,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,2.94,0,0,0.98,0,0,0,0,0.98,0,0,1.96,0,0,3.93,0,0,0,0,0.98,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0.98,0.98,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,1.09,1.09,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0,0.77,0.77,0,0,0,0.77,0.77,0,0,0,0,0.77,0.77,0,0,0,0,0,1.53,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
