stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
 24-34,0,0,0,1.64,0,0,5.75,0,0,0,0,0,0,0,0,0,30.37,0,0,1.64,4.1,0,0,0,22.16,0,0,0,0,1.64,0,0,2.46,0,0,0,0,4.1
 36-46,0,0,0,0,0,0,8.86,0,1.61,0,3.22,0,0,0.81,1.61,0,58.01,0,0,0.81,9.67,0,0,2.42,82.18,0,0.81,0,0,3.22,0,0,12.89,0,0,0,0,0.81
 48-58,0,0,0,2.87,2.3,0,61.4,0.57,1.15,1.72,14.92,0,0,1.15,0,0,82.05,0,0,1.15,34.43,0.57,0.57,5.74,176.73,1.15,0.57,1.72,0,2.87,0,1.15,36.72,0,0.57,3.44,0,4.59
 60-70,0,0,0,11.78,3.93,0,105.02,0.98,0.98,0.98,17.67,0.98,0.98,0,0.98,1.96,144.28,0.98,0.98,0,49.08,0,0.98,4.91,179.62,0,1.96,0.98,0,14.72,0,0,26.5,0,0,0.98,0.98,4.91
 72-82,0,0,0,5.89,7.85,0,104.06,0.98,0,1.96,19.63,2.94,0,0,1.96,0,152.16,1.96,3.93,1.96,51.05,0,1.96,9.82,162.96,0.98,0.98,2.94,0.98,6.87,1.96,0.98,14.72,0.98,1.96,5.89,0.98,1.96
 84-94,0,0,0,8.5,7.43,0,64.78,2.12,0,3.19,10.62,2.12,0,1.06,4.25,0,179.48,1.06,3.19,1.06,30.8,0,3.19,5.31,91.34,1.06,0,4.25,2.12,20.18,1.06,1.06,4.25,1.06,3.19,4.25,3.19,5.31
 96-106,0,0,1.09,7.65,9.84,2.19,56.83,1.09,1.09,1.09,24.04,4.37,0,1.09,5.46,3.28,165.02,1.09,4.37,0,38.25,0,2.19,4.37,87.43,3.28,3.28,2.19,0,17.49,2.19,0,5.46,0,1.09,5.46,1.09,3.28
108-118,0,0.77,0,7.66,6.89,1.53,24.51,0,3.06,0,10.72,3.83,0,0,3.06,0,229.02,0,3.06,0,32.17,0,1.53,3.06,51.32,1.53,1.53,0.77,1.53,6.89,0.77,0,0,0,0,1.53,0,3.83
120,0,0,0,7.84,1.96,0,15.68,0,1.96,0,7.84,1.96,0,1.96,1.96,0,160.7,0,0,0,17.64,0,0,1.96,47.03,1.96,0,0,0,1.96,1.96,0,0,0,1.96,0,1.96,3.92
