stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,39.53,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,73.56,839.76,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,36.78,12.26,12.26,0,12.26,0,0,0,0
  7-9,5.26,2.63,7.89,0,0,26.29,0,0,0,0,10.51,0,0,0,0,0,0,0,0,299.67,10.51,113.03,0,2.63,0,0,0,0
 10-12,0,6.29,3.15,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,163.64,6.29,56.65,0,0,0,6.29,0,0
 14-21,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,13,0,1,0,6,4,0,2,6
 24-34,0,0,0,3.28,0,2.46,0,0,0,0.82,0,0.82,0.82,0,0,0,6.57,0,0.82,9.03,0,0,0,6.57,0,0,0,0.82
 36-46,0,0,0,0.81,0,2.42,0,0,1.61,0,0,0,0,0,0,0,0.81,0.81,0,4.83,0.81,0,0,2.42,0,0,0,0
 48-58,0,0,0,0,0,4.02,0,0.57,0,0,0.57,0,0,0,0,0,1.72,0,2.87,1.72,0,0,0,1.72,0,0,0,2.87
 60-70,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,1.96,0,0,0,0.98,0,0,0,0.98
 72-82,0,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0,0,0,1.96,0.98,0,4.91,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,3.19,0,1.06,0,0,0,0,0,0,0,0,4.25,0,0,3.19,0,0,0,1.06,0,0,0,1.06
 96-106,0,0,0,0,0,2.19,3.28,0,1.09,0,0,0,2.19,0,1.09,0,4.37,0,0,2.19,0,0,1.09,5.46,0,0,0,0
108-118,0,0,0,0.77,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.77,0,0,1.53,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,5.88,0,0,0,7.84,0,0,0,0
