stage,epidermis,eye,glial,heart,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,4,3,0,0,0,3,0,2,14,2,0,0,0,1,5,0,0,0
 24-34,1.64,4.1,0,0,0,0.82,0,0,13.13,0,0,0.82,1.64,0,2.46,0,0,0
 36-46,0,0,0.81,0,0,4.03,0,0,7.25,0,0.81,0,0.81,0,0,0,0,0
 48-58,0,0,1.15,0,0.57,1.15,0,0,5.74,0,0,0,0.57,0,0,0,0.57,0
 60-70,0,0.98,0,0,0,3.93,0,0,4.91,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0.98,0,0,1.96,0,0,2.94,0,0,0,1.96,0,0,0,0,0.98
 84-94,0,2.12,2.12,0,0,1.06,1.06,0,2.12,0,0,0,0,0,0,1.06,0,0
 96-106,0,3.28,0,0,0,2.19,0,1.09,2.19,0,0,0,1.09,0,0,0,1.09,0
108-118,0,1.53,0.77,0.77,0,3.06,0.77,0,0.77,0.77,0,0,1.53,0,0,0,0.77,0
120,0,0,0,0,0,3.92,1.96,0,1.96,0,0,0,1.96,1.96,0,0,0,0
