stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,1,1,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0,0,13.13,0,0,0,0
 36-46,0,0,0,0,6.45,0,0,0,0.81,0,0,0,0,0,0,1.61,0,0,0,26.59,0,0,0,0,0,0,0,51.56,0,0,0,0
 48-58,0,0,0,0,18.94,0,0,0,1.72,0,0,0,0,0.57,0,1.72,0,0,0,51.64,0,0,1.15,0,0,0,0,31.56,0,0,0,0
 60-70,0,1.96,0,0,179.62,0,0.98,0,0.98,0,0,0,0,1.96,0,3.93,0,0,0,75.58,0,0.98,0.98,0,0,0,0,13.74,0,0,0,0
 72-82,0,5.89,0,0,568.38,0,0,1.96,19.63,0.98,0,0,0,3.93,0.98,5.89,0,0,0.98,184.55,0.98,0.98,0,0,0,0,0,17.67,0,0,0.98,0
 84-94,0,3.19,0,0,338.79,1.06,1.06,0,25.49,0,0,0,2.12,6.37,0,5.31,0,0,1.06,108.33,0,0,1.06,1.06,0,0,0,9.56,0,0,1.06,0
 96-106,0,5.46,0,1.09,334.41,0,1.09,1.09,15.3,0,1.09,0,0,10.93,0,10.93,1.09,1.09,1.09,118.03,0,0,2.19,0,0,0,0,4.37,2.19,1.09,1.09,0
108-118,0,3.83,0.77,0,225.19,0,0,0.77,18.38,0,0,0.77,2.3,14.55,1.53,6.89,0,0.77,0,117.19,0.77,0,6.13,0.77,0,0,0,4.6,1.53,0,0,0.77
120,0,1.96,1.96,0,131.31,0,0,1.96,19.6,1.96,1.96,0,0,9.8,0,9.8,0,0,1.96,146.98,0,1.96,1.96,0,1.96,0,0,3.92,0,0,0,0
