stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,8.21,0,0,0,0,0.82,0,0,0,0,0,0,0,0,12.31,0,0,0,0,0.82,1.64,0,0,0,0,0
 36-46,0,0,0,0,12.89,0,2.42,0,0.81,0,0,0,0,0,0,0,1.61,0,0,0,11.28,0,0,0,0.81,0,3.22,0,0,0,0,0
 48-58,0,0,0,0,20.08,0,1.15,0.57,2.87,0,0,0,0,0,0,0.57,18.94,0,0,0.57,17.21,0,0,0,0,0.57,4.02,0,0,0,0,0
 60-70,0,0,0.98,0,14.72,0,0,1.96,1.96,0,0.98,0,0,0,0,0,30.43,0,0,0,19.63,0.98,0,0.98,0,0,1.96,0,0.98,0,0,0.98
 72-82,0,2.94,0.98,0,21.6,0,0,0,7.85,0,0,0.98,0.98,0,0,0,71.66,0,0,0.98,29.45,0,0,1.96,1.96,0,2.94,0.98,1.96,0.98,0,0.98
 84-94,0,0,1.06,0,15.93,1.06,0,0,0,1.06,0,0,0,1.06,0,0,90.27,0,0,1.06,14.87,0,0,0,0,0,2.12,1.06,5.31,0,0,0
 96-106,1.09,9.84,0,0,12.02,0,0,1.09,6.56,1.09,4.37,0,0,0,3.28,0,78.68,1.09,1.09,0,18.58,0,1.09,0,6.56,0,1.09,0,2.19,1.09,1.09,0
108-118,0.77,3.06,2.3,0.77,16.85,0,1.53,1.53,1.53,0.77,0.77,0.77,0.77,0,0.77,0,75.06,0,0,0.77,26.04,0,0.77,0.77,1.53,0,0.77,0,3.06,0.77,0,0
120,0,3.92,3.92,0,5.88,0,1.96,1.96,1.96,0,0,0,0,0,0,0,123.47,1.96,0,0,21.56,0,0,0,3.92,0,0,0,0,0,0,0
