stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,0,10.51,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,118.29,5.26,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,3.15,0,34.62,0,0,0,25.18,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,245.46,12.59,0,0,94.41,0,0,0,12.59,3.15,0,0,0,0,0,0
 14-21,1,0,0,3,42,6,0,19,0,1,0,14,1,1,1,0,0,0,0,0,0,20,0,0,15,267,7,2,4,8,0,0,33,5,30,74,0,0,2,0,0
 24-34,0,0.82,0,2.46,20.52,1.64,0,54.18,0,0.82,1.64,12.31,1.64,0,0.82,0.82,0.82,0,0.82,0,1.64,60.74,0,0,22.16,568.03,4.1,8.21,7.39,0,0.82,10.67,0,1.64,4.93,127.23,0,0,13.13,0,0.82
 36-46,0,0,0.81,0,6.45,0,0,149.85,0,0,3.22,20.95,0,0.81,1.61,0,0,0,0.81,1.61,1.61,58.01,0.81,3.22,19.34,557.52,2.42,7.25,2.42,0,0,3.22,0,0.81,0,132.94,0,0,4.03,0.81,0.81
 48-58,0,0,0,0,6.89,0,0,168.12,1.72,2.3,4.02,28.69,0,0,0.57,0,1.15,0.57,1.15,0,0.57,55.66,0,2.87,10.9,389.61,0.57,5.74,2.3,0,0,2.87,0,0,0,82.63,0,0,2.87,0,2.3
 60-70,0,0,0,0,5.89,0,0,202.19,0,1.96,2.94,39.26,1.96,0,1.96,0,0,0,0.98,0,0.98,94.23,2.94,0,4.91,422.05,0,4.91,1.96,0,0,5.89,0,0,0,73.61,0,0.98,4.91,0,2.94
 72-82,0,0,2.94,0,4.91,3.93,0,221.86,0,0.98,6.87,62.83,1.96,0,0.98,0.98,1.96,1.96,1.96,0,0,121.73,0.98,5.89,12.76,409.35,1.96,3.93,2.94,0,1.96,5.89,0,0.98,0,43.19,0.98,2.94,10.8,3.93,2.94
 84-94,0,0,2.12,0,16.99,6.37,1.06,122.13,0,2.12,4.25,38.23,4.25,3.19,1.06,3.19,5.31,3.19,2.12,0,2.12,97.71,0,4.25,12.74,192.23,2.12,3.19,7.43,0,0,14.87,0,0,0,23.36,2.12,4.25,5.31,3.19,0
 96-106,0,0,0,0,15.3,12.02,0,120.21,1.09,1.09,6.56,46.99,7.65,0,0,3.28,1.09,2.19,2.19,0,2.19,91.8,2.19,4.37,13.11,177.04,3.28,9.84,10.93,0,1.09,10.93,0,0,0,10.93,0,2.19,8.74,3.28,4.37
108-118,0,0,0,0,14.55,6.89,1.53,88.85,1.53,3.06,4.6,41.36,3.83,0,0,4.6,0.77,3.83,2.3,0,2.3,68.17,0,3.06,13.02,207.58,3.83,8.43,9.96,0,0,3.83,0,1.53,0,9.96,0.77,2.3,6.13,4.6,3.83
120,0,0,0,0,15.68,5.88,0,45.08,3.92,5.88,3.92,31.36,3.92,0,0,11.76,0,1.96,0,0,0,76.43,0,1.96,15.68,217.54,0,7.84,1.96,0,0,15.68,0,0,0,5.88,0,0,3.92,1.96,3.92
