stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,mesenchyme,mural_cell,neural,notochord,periderm,pronephros,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,2.46,0,0
 36-46,0,0.81,0,0,0,0,0,0.81,0,6.45,0,0.81
 48-58,0,0,0,0,0,0,0,0.57,0,3.44,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,3.93,0,0
 72-82,0,0,0,0.98,0,0,0,1.96,0,5.89,0,0.98
 84-94,0,1.06,0,0,1.06,0,0,0,0,8.5,1.06,2.12
 96-106,0,0,0,0,0,1.09,0,3.28,1.09,3.28,0,0
108-118,0,0,0.77,0,0,0.77,0.77,0.77,0,3.83,0.77,0
120,0,0,0,1.96,0,1.96,0,1.96,0,1.96,0,0
