stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,329.45,8143.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423.22,0,0,0,0,0,0,0,0
  5-6,514.89,3555.19,0,0,0,0,0,0,0,0,0,0,134.85,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,0,747.82,0,0,0,0,0,0,0,0
  7-9,42.06,49.95,0,21.03,0,0,0,68.35,0,0,0,0,875.36,0,0,0,0,0,0,0,0,0,0,2068.8,13.14,0,0,39.43,99.89,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,81.82,0,3.15,0,47.2,0,0,0,0,544.43,0,0,0,0,0,0,0,0,0,0,2073.85,6.29,0,0,97.56,44.06,3.15,119.58,0,0,0,0,0,0
 14-21,1,0,0,7,316,567,0,1,3,0,2,1,189,0,0,4,0,7,0,0,4,1,1,21,0,3,8,0,37,5,2,2,4,22,0,1,0
 24-34,0,0,0,9.03,22.16,546.69,0,2.46,1.64,0,0.82,0,44.33,0,0,2.46,0,39.4,0,0.82,2.46,2.46,0.82,45.97,0.82,2.46,6.57,0,9.85,0,0,0,0,10.67,0,2.46,0.82
 36-46,0,0,0,0.81,13.7,137.77,0,0,0,0,0,0,5.64,0,0,0,0,24.17,0,0,2.42,0,0.81,14.5,0,1.61,3.22,0,0.81,0,0,0,0,5.64,0,4.83,0
 48-58,0,0,0,0,22.95,65.41,0,3.44,0.57,0,1.15,0,9.18,0.57,0,0,0,25.25,0,0,2.3,1.15,0.57,13.2,0,1.72,5.16,0,2.87,0,0,0,0,6.31,0,9.18,0
 60-70,0,0,0,0,23.56,32.39,0,5.89,0.98,0,2.94,0,4.91,0,0,0,0,21.59,0,0,0,0,0,8.83,0,0,4.91,0,0.98,0,0,0,0,1.96,0,23.56,0
 72-82,0,0,0.98,0,35.34,45.16,0,4.91,0.98,0,3.93,0,7.85,0.98,0,1.96,0,39.27,0,0,1.96,0,0,12.76,0,0,6.87,0,3.93,0,0,0,0,0.98,3.93,60.86,0
 84-94,0,0,1.06,0,37.17,57.35,0,2.12,0,1.06,0,0,4.25,0,0,0,0,59.47,0,0,1.06,0,0,5.31,0,1.06,4.25,0,18.05,0,0,0,0,0,6.37,41.42,0
 96-106,0,0,0,0,48.09,77.59,1.09,2.19,0,0,1.09,1.09,0,1.09,1.09,0,0,79.78,1.09,0,5.46,2.19,1.09,9.84,1.09,1.09,2.19,0,6.56,0,0,0,0,1.09,4.37,72.13,0
108-118,0,0,0.77,0,35.23,98.04,0,2.3,1.53,0,1.53,6.13,0,1.53,3.06,0,0.77,49.02,0,0,2.3,0.77,0,7.66,0.77,0,5.36,0,9.96,0,0,0,0,0,7.66,60.51,0
120,0,0,0,0,41.16,101.91,0,1.96,0,0,0,0,0,1.96,0,1.96,0,23.52,1.96,0,5.88,1.96,0,1.96,0,0,1.96,0,11.76,0,0,0,0,0,5.88,41.16,0
