stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,6,29,12,0,21,0,0,0,6,0,1,0,0,3,0,0,1,0,12,0,0,7,201,2,1,6,3,1,39,0,0,25,78,0,0,1,0,0
 24-34,0,1.64,8.21,4.1,0,17.24,0,0,0,2.46,0.82,0,0,0.82,0.82,0.82,0.82,0,0,15.6,1.64,0,4.1,151.04,0,0.82,2.46,0,2.46,0,1.64,0,2.46,33.66,0,0,7.39,0,0.82
 36-46,0,0,3.22,0,0,27.39,0.81,0,0,7.25,0.81,0,1.61,0,1.61,0,0.81,0.81,0,11.28,0,0,4.03,133.74,0,0.81,1.61,0,0,0,1.61,0.81,0,33.03,0,0,0.81,0,0.81
 48-58,0,0,0.57,0,0,43.61,0,0.57,0,7.46,0.57,0,0.57,0.57,0,0,0,0,1.15,9.75,2.3,2.3,2.3,102.71,0,1.72,0.57,0,5.74,0,1.15,0.57,0,25.25,0,0,0.57,0,0
 60-70,0,0,3.93,0,0,46.13,0,0,1.96,8.83,0,0,0.98,0,1.96,0,0,0,0,18.65,1.96,0,0.98,87.36,0,0,0,0,6.87,0,0,0,0,18.65,0,0.98,1.96,0,0
 72-82,2.94,0,2.94,6.87,0,37.3,0,0.98,0,9.82,1.96,0,0.98,0,0.98,0,0,0,0,24.54,0,0.98,0.98,69.7,0,0.98,0.98,0,4.91,0,0,0,0,6.87,0,0,3.93,0.98,0
 84-94,0,0,4.25,3.19,0,36.11,0,1.06,0,10.62,4.25,0,1.06,4.25,3.19,1.06,0,0,0,16.99,2.12,0,2.12,39.3,1.06,0,0,0,9.56,0,0,1.06,0,7.43,0,0,2.12,1.06,3.19
 96-106,0,1.09,6.56,4.37,0,19.67,0,2.19,0,5.46,3.28,0,0,2.19,1.09,2.19,0,2.19,0,14.21,1.09,0,2.19,36.06,0,0,3.28,0,7.65,0,0,1.09,0,3.28,1.09,0,1.09,1.09,0
108-118,0.77,0,9.96,3.06,2.3,16.09,0.77,0.77,0,5.36,3.06,0,0.77,2.3,0.77,0.77,0.77,0,0,11.49,0,1.53,3.06,38.3,0.77,2.3,0.77,0,9.96,0,0,0,0,1.53,1.53,0,3.06,0,1.53
120,0,0,7.84,3.92,0,13.72,0,0,1.96,5.88,3.92,0,0,1.96,0,1.96,0,1.96,0,15.68,0,0,0,35.28,1.96,0,0,0,3.92,0,0,0,0,1.96,3.92,1.96,0,1.96,0
