stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,28.92,5.26,0,0,21.03,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,0,44.06,6.29,0,0,25.18,0,0,0,0,0,0,0
 14-21,0,0,0,5,2,0,0,0,4,2,18,1,0,2,4,6,3,3,13,0,0,0
 24-34,0,0,0,3.28,0,0.82,0,0,4.1,2.46,30.37,0,0.82,0.82,0,0,0,2.46,9.03,0,0.82,0.82
 36-46,0,0,0.81,0,0,0,0,0,4.03,0,5.64,0,0,0.81,0,0.81,0,0,1.61,0,0.81,0
 48-58,0,0,0,0,0,0,0.57,0,1.15,0.57,4.02,0,0,0.57,0,0,0,0,1.15,0,0,0
 60-70,0,0,0,0.98,0,1.96,0,0.98,2.94,0,5.89,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,0,0,0,1.96,0.98,0,1.96,0,0,0,0,0,0,0,1.96,0,0.98,0
 84-94,0,0,0,1.06,0,0,0,0,2.12,0,2.12,0,0,0,0,0,0,0,2.12,1.06,1.06,0
 96-106,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0.77,0,0,0,0,0.77,1.53,1.53,1.53,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0
